,data_BO01562_B,data_BO03125_B,data_BO06250_B,data_BO12500_B,data_OR01562_R,data_OR03125_R,data_OR06250_R,data_OR12500_R,fitdata_fcs_BO01562_B,fitdata_fcs_BO03125_B,fitdata_fcs_BO06250_B,fitdata_fcs_BO12500_B,fitdata_fcs_OR01562_R,fitdata_fcs_OR03125_R,fitdata_fcs_OR06250_R,fitdata_fcs_OR12500_R,fitdata_fcst_BO01562_B,fitdata_fcst_BO03125_B,fitdata_fcst_BO06250_B,fitdata_fcst_BO12500_B,fitdata_fcst_OR01562_R,fitdata_fcst_OR03125_R,fitdata_fcst_OR06250_R,fitdata_fcst_OR12500_R,fitdata_n_BO01562_B,fitdata_n_BO03125_B,fitdata_n_BO06250_B,fitdata_n_BO12500_B,fitdata_n_OR01562_R,fitdata_n_OR03125_R,fitdata_n_OR06250_R,fitdata_n_OR12500_R,fitdata_nr_BO01562_B,fitdata_nr_BO03125_B,fitdata_nr_BO06250_B,fitdata_nr_BO12500_B,fitdata_nr_OR01562_R,fitdata_nr_OR03125_R,fitdata_nr_OR06250_R,fitdata_nr_OR12500_R,fitdata_nt_BO01562_B,fitdata_nt_BO03125_B,fitdata_nt_BO06250_B,fitdata_nt_BO12500_B,fitdata_nt_OR01562_R,fitdata_nt_OR03125_R,fitdata_nt_OR06250_R,fitdata_nt_OR12500_R,fitdata_ntr_BO01562_B,fitdata_ntr_BO03125_B,fitdata_ntr_BO06250_B,fitdata_ntr_BO12500_B,fitdata_ntr_OR01562_R,fitdata_ntr_OR03125_R,fitdata_ntr_OR06250_R,fitdata_ntr_OR12500_R,fitstd_BO01562_B,fitstd_BO03125_B,fitstd_BO06250_B,fitstd_BO12500_B,fitstd_OR01562_R,fitstd_OR03125_R,fitstd_OR06250_R,fitstd_OR12500_R,stderr_BO01562_B,stderr_BO03125_B,stderr_BO06250_B,stderr_BO12500_B,stderr_OR01562_R,stderr_OR03125_R,stderr_OR06250_R,stderr_OR12500_R,tB,tR
7,1.7137382,1.35568335,1.18595525,1.0928829,1.5217722,1.2483413,1.1457765,1.07297535,1.59157662409,1.32561720516,1.16431813292,1.07766549056,1.5327796697,1.25368547389,1.13959408251,1.07015353512,1.6245083087,1.35405096045,1.17711376756,1.08270484401,1.55665620463,1.26344486362,1.14470795317,1.07212277089,1.61788448401,1.34027838101,1.17170260292,1.08110053337,1.53548390229,1.2549394914,1.1402837815,1.07049900938,1.62825026003,1.346217859,1.17476870903,1.08252742304,1.53959581259,1.25697640362,1.14138575655,1.07105365404,1.61537463567,1.35808164917,1.17763303759,1.08166383066,1.55831260553,1.26353219772,1.14463642498,1.07217650135,1.6748590975,1.35464284031,1.18859501425,1.08245721411,1.56292123334,1.26341647714,1.14564011158,1.07204117823,0.0636016033661,0.0320388227129,0.0182947975932,0.00946262178506,0.0329743032629,0.0146163004567,0.0076460797154,0.003279093635,0.0525802708427,0.0221126678429,0.0173996120563,0.00856715691432,0.0236366378997,0.0114392248337,0.00821946195213,0.0027640202679,1e-07,1e-07
8,1.69938225,1.3245958,1.1884282,1.0738933,1.5596751,1.2405571,1.14902585,1.0726429,1.59139870472,1.3255192743,1.16426871349,1.07764213231,1.53270112088,1.25364807251,1.13957350187,1.07014319224,1.62416625777,1.35383442196,1.17701393482,1.0826284991,1.55647147063,1.2633266988,1.14467295317,1.07209933758,1.61764373133,1.34014579485,1.17163570067,1.08106893334,1.53540138728,1.25490020668,1.14026216457,1.07048814589,1.62796987706,1.34606334479,1.17469071118,1.08249059173,1.53950793712,1.25693455392,1.14136273128,1.07104208266,1.6151375592,1.35775886378,1.17751351534,1.08153051254,1.55810210577,1.26340633233,1.14460199695,1.07215102012,1.66151922843,1.35448236845,1.18573302522,1.08242050941,1.56259060929,1.26327244532,1.1455927234,1.0720153061,0.060547547539,0.0308202752318,0.0172301340513,0.00882493346262,0.0312276896208,0.0139367185339,0.0072462653734,0.00314044590788,0.0459304011811,0.0306458271585,0.0169554365198,0.00627945924149,0.0269043096589,0.0159616548935,0.00505776903747,0.00221175143484,1.125e-07,1.125e-07
9,1.6120764,1.29321685,1.1922826,1.0693474,1.53548965,1.27621605,1.1474711,1.07158535,1.59122089201,1.32542140215,1.16421932369,1.07761878806,1.53262259506,1.25361068208,1.13955292724,1.07013285239,1.6238249348,1.35361834836,1.17691429248,1.08255259434,1.55628717792,1.26320913502,1.14463799439,1.07207598113,1.61740320064,1.34001333095,1.17156886011,1.08103736244,1.53531889902,1.25486093469,1.14024055465,1.07047728592,1.62768981385,1.3459090068,1.17461280229,1.08245380241,1.53942009671,1.25689272092,1.14133971519,1.07103051588,1.61490069839,1.35743807379,1.17739447362,1.08140902959,1.55789226813,1.2632812387,1.14456760826,1.07212564802,1.65179286941,1.35432202652,1.18342498342,1.0823838343,1.56226236701,1.26312988637,1.14554546948,1.07198961149,0.0579019350964,0.0297277324811,0.0163288074669,0.0082988339702,0.0297345590933,0.0133424254613,0.00690367038472,0.00301862783232,0.0520881616741,0.0286415596351,0.012616226064,0.00875414721186,0.0238602964675,0.0118102054073,0.00761094499024,0.00383707276141,1.25e-07,1.25e-07
10,1.667699,1.35152,1.1581938,1.077168,1.55802095,1.26573745,1.1445133,1.06797175,1.59104318586,1.32532358865,1.16416996348,1.0775954578,1.53254409222,1.25357330259,1.13953235864,1.07012251556,1.62348433741,1.35340273824,1.17681484,1.08247712634,1.55610332485,1.26309216799,1.14460307673,1.07205270113,1.61716289161,1.33988098911,1.17150208115,1.08100582064,1.5352364375,1.25482167544,1.14021895173,1.07046642946,1.62741006954,1.34575484454,1.1745349821,1.08241705499,1.53933228852,1.25685090326,1.14131670755,1.07101895335,1.61466405292,1.35711926068,1.17727590903,1.08129801768,1.55768308947,1.26315691022,1.14453325882,1.07210038431,1.64468065826,1.35416196984,1.18156078193,1.08234722491,1.56193649137,1.26298878313,1.14549835113,1.07196409328,0.0555795463814,0.0287411655437,0.0155530034433,0.00785571103994,0.0284384647436,0.0128167857441,0.00660569956893,0.00291041003409,0.0673578966174,0.0281982747281,0.0181375831045,0.00685121449708,0.0359047901796,0.0100585458672,0.00627315909694,0.00345179347143,1.375e-07,1.375e-07
11,1.57165975,1.31220055,1.1764221,1.08569025,1.55506765,1.27036065,1.14126655,1.07431425,1.59086558617,1.32522583375,1.16412063285,1.07757214152,1.53246561235,1.25353593404,1.13951179606,1.07011218175,1.62314446325,1.3531875902,1.17671557687,1.08240209177,1.55591990979,1.26297579344,1.14456820012,1.07202949718,1.6169228039,1.33974876915,1.17143536368,1.08097430789,1.5351540027,1.25478242891,1.14019735581,1.07045557653,1.62713064242,1.34560085709,1.17445725015,1.08238034924,1.53924451309,1.25680910121,1.14129370849,1.07100739514,1.61442762247,1.35680240612,1.1771578182,1.08119627033,1.55747456668,1.26303334034,1.14449894857,1.07207522824,1.63945921846,1.35400204041,1.18005207192,1.08231064448,1.5616129527,1.26284911179,1.14545136584,1.0719387485,0.0535184059195,0.0278445914493,0.0148761244839,0.00747616554461,0.0272992129764,0.0123474087865,0.00634334948976,0.00281338000459,0.0623003808378,0.0307856476358,0.0125603745499,0.00603709389436,0.0297547418174,0.0137497499572,0.00631712630967,0.00313434190132,1.5e-07,1.5e-07
12,1.5491016,1.3225135,1.19650339,1.09091415,1.53674405,1.276869,1.13719305,1.07013035,1.59068809285,1.3251281374,1.16407133177,1.07754883921,1.53238715544,1.25349857643,1.1394912395,1.07010185098,1.62280530998,1.35297290283,1.17661650256,1.08232748732,1.55573693111,1.26286000715,1.14453336446,1.07200636886,1.61668293717,1.3396166709,1.17136870763,1.08094282414,1.53507159462,1.2547431951,1.1401757669,1.07044472711,1.6268515332,1.34544704482,1.17437960664,1.08234368524,1.53915676973,1.25676731442,1.14127071784,1.07099584114,1.61419140673,1.35648749194,1.1770401978,1.08110272041,1.55726669664,1.26291052255,1.1444646774,1.07205017906,1.63560561783,1.35384229566,1.17882817546,1.08227410638,1.56129173041,1.26271085297,1.14540451341,1.07191357531,0.0516721638863,0.0270251420135,0.0142788451706,0.00714654286826,0.0262872828434,0.0119248453896,0.00610998534508,0.00272569239527,0.0488697738322,0.0311661514386,0.0166487955146,0.00827567579031,0.031007727565,0.011973345977,0.00662990149681,0.0032876662538,1.625e-07,1.625e-07
13,1.68046545,1.33960425,1.19035675,1.08149075,1.59977325,1.25276825,1.1510284,1.0700378,1.59051070582,1.32503049954,1.1640220602,1.07752555084,1.53230872149,1.25346122974,1.13947068895,1.07009152322,1.62246687525,1.35275867474,1.17651761654,1.0822533097,1.55555438719,1.26274480492,1.14449856968,1.07198331577,1.6164432911,1.33948469416,1.17130211289,1.08091136935,1.53498921323,1.254703974,1.14015418497,1.07043388121,1.62657274076,1.34529340713,1.17430205124,1.08230706286,1.53906905897,1.25672554316,1.14124773572,1.07098429144,1.61395540537,1.35617450014,1.17692304449,1.08101642408,1.55705947627,1.26278845041,1.14443044524,1.07202523603,1.63274151068,1.35368272942,1.17783244808,1.08223760918,1.56097280269,1.26257398694,1.14535779325,1.07188857173,0.0500053367904,0.0262723535181,0.0137467405915,0.00685693026229,0.0253804269433,0.0115417431965,0.00590059257247,0.00264590706794,0.0444628152326,0.0335664822932,0.0138908720549,0.00905919728284,0.0303984006014,0.0133339280458,0.00718547111517,0.00314684222007,1.75e-07,1.75e-07
14,1.654833415,1.3558452,1.17232385,1.06666225,1.5650299,1.24329765,1.1426598,1.07113615,1.59033342496,1.32493292013,1.16397281812,1.07750227642,1.53223031047,1.25342389398,1.13945014441,1.07008119848,1.62212915673,1.35254490454,1.17641891831,1.08217955565,1.5553722764,1.2626301826,1.14446381567,1.0719603375,1.61620386534,1.33935283876,1.17123557938,1.08087994348,1.53490685853,1.2546647656,1.14013261004,1.07042303882,1.62629426256,1.3451399426,1.17422458327,1.08227048175,1.53898138134,1.25668378768,1.14122476229,1.0709727461,1.61371961807,1.35586341292,1.176806355,1.08093654653,1.55685290247,1.26266711754,1.14439625201,1.07200039841,1.63059323464,1.3535233432,1.17701951716,1.08220115322,1.56065614769,1.26243849412,1.14531120473,1.07186373577,0.0484902158991,0.0255776324821,0.01326879642,0.00659994244968,0.0245615111481,0.0111922814703,0.00571129931987,0.00257288055588,0.075599454592,0.0356084263762,0.0146390513674,0.00867266535757,0.0289908047926,0.0116101551325,0.00688430517685,0.00191502086578,1.875e-07,1.875e-07
15,1.58659565,1.36526793,1.1929237,1.0948895,1.570479,1.2668881,1.14319545,1.07588095,1.59015625018,1.32483539911,1.16392360552,1.07747901592,1.53215192239,1.25338656914,1.13942960587,1.07007087676,1.6217921521,1.35233159083,1.17632040733,1.08210622194,1.55519059714,1.26251613604,1.14442910236,1.07193743365,1.61596465958,1.33922110451,1.171169107,1.08084854649,1.5348245305,1.2546255699,1.1401110421,1.07041219994,1.62601610335,1.34498665387,1.17414720403,1.08223394255,1.53889373493,1.25664204707,1.14120179704,1.07096120488,1.61348404452,1.35555421265,1.17669012605,1.08086234941,1.5566469722,1.26254651762,1.14436209762,1.07197566548,1.62896283445,1.35336413587,1.17635303514,1.08216473825,1.5603417434,1.26230435501,1.14526474711,1.07183906541,0.0471047917646,0.0249338539017,0.0128364377169,0.00636995444049,0.0238170918003,0.0108717820786,0.00553906083626,0.00250569123713,0.0728404994584,0.0328538977577,0.015018821178,0.0070298844089,0.0268596798,0.0148878303894,0.00709079765946,0.00312989408165,2e-07,2e-07
16,1.6848702,1.36374615,1.15400235,1.0812581,1.5805269,1.2894718,1.1530913,1.06795285,1.58980221851,1.32464053204,1.1638252686,1.07743253666,1.53199521499,1.25331195219,1.13938854683,1.07005024238,1.62112027525,1.35190632737,1.1761239451,1.08196080269,1.55482852678,1.26228975382,1.14435979747,1.07189184762,1.61548690669,1.33895799873,1.17103634527,1.08078583895,1.5346599544,1.25454721657,1.14006792715,1.07039053271,1.62546072351,1.34468059364,1.17399270665,1.08216098744,1.53871854087,1.25655861288,1.14115589241,1.07093813543,1.6130135374,1.3549414032,1.17645903687,1.08072845967,1.55623703002,1.26230749153,1.14429390504,1.07192651078,1.6267225305,1.35304626146,1.17534874645,1.08209203209,1.55971960314,1.26204006288,1.1451722225,1.07179021396,0.0446553127409,0.0237762149101,0.0120826562317,0.00597443228349,0.0225109169962,0.0103031013628,0.00523647975881,0.00238594441833,0.0339571418568,0.0177437172918,0.0103285808614,0.00656948489567,0.0231138555527,0.00850663545199,0.00368235930492,0.00155695931269,2.25e-07,2.25e-07
