,C,C_stderr,D,a,color,dataset,lambdaem,lambdaex,n,r0,r0_stderr,v,w0,w0_stderr
0,2.59745536132,0.0467565076142,389.4,0.522,B,BO01562,0.519,0.488,1.33,0.125759823228,0.00180989100139,0.689495915079,0.195808685357,0.00242465356037
1,4.8300152742,0.100876919657,389.4,0.522,B,BO03125,0.519,0.488,1.33,0.123775033929,0.00202472301345,0.660505245733,0.190866273566,0.00266885629782
2,7.983286091,0.231852929441,389.4,0.522,B,BO06250,0.519,0.488,1.33,0.141605920033,0.00286535834168,0.781648345654,0.176310061548,0.00330148860182
3,10.3805961656,0.496015523688,389.4,0.522,B,BO12500,0.519,0.488,1.33,0.197303334722,0.00593635471359,1.30196161973,0.159550095756,0.00465785024687
4,1.37986454829,0.0159051098222,404.98,0.652,R,OR01562,0.657,0.633,1.33,0.139740701245,0.00177164450624,1.50448768541,0.331337775785,0.00204364971652
5,2.72200797397,0.0317086746056,404.98,0.652,R,OR03125,0.657,0.633,1.33,0.147560137601,0.0018388804166,1.61795592177,0.331602121134,0.00199831557951
6,5.25623621035,0.0582250359221,404.98,0.652,R,OR06250,0.657,0.633,1.33,0.140436008046,0.00168933634295,1.50259168257,0.329242584245,0.00190104406906
7,10.2143501413,0.112248011828,404.98,0.652,R,OR12500,0.657,0.633,1.33,0.142748167589,0.00170339953522,1.55270541441,0.332310350225,0.00187950458553
