,data_BO01562_B,data_BO03125_B,data_BO06250_B,data_BO12500_B,data_OR01562_R,data_OR03125_R,data_OR06250_R,data_OR12500_R,fitdata_fcs_BO01562_B,fitdata_fcs_BO03125_B,fitdata_fcs_BO06250_B,fitdata_fcs_BO12500_B,fitdata_fcs_OR01562_R,fitdata_fcs_OR03125_R,fitdata_fcs_OR06250_R,fitdata_fcs_OR12500_R,fitdata_fcst_BO01562_B,fitdata_fcst_BO03125_B,fitdata_fcst_BO06250_B,fitdata_fcst_BO12500_B,fitdata_fcst_OR01562_R,fitdata_fcst_OR03125_R,fitdata_fcst_OR06250_R,fitdata_fcst_OR12500_R,fitdata_n_BO01562_B,fitdata_n_BO03125_B,fitdata_n_BO06250_B,fitdata_n_BO12500_B,fitdata_n_OR01562_R,fitdata_n_OR03125_R,fitdata_n_OR06250_R,fitdata_n_OR12500_R,fitdata_nr_BO01562_B,fitdata_nr_BO03125_B,fitdata_nr_BO06250_B,fitdata_nr_BO12500_B,fitdata_nr_OR01562_R,fitdata_nr_OR03125_R,fitdata_nr_OR06250_R,fitdata_nr_OR12500_R,fitdata_nt_BO01562_B,fitdata_nt_BO03125_B,fitdata_nt_BO06250_B,fitdata_nt_BO12500_B,fitdata_nt_OR01562_R,fitdata_nt_OR03125_R,fitdata_nt_OR06250_R,fitdata_nt_OR12500_R,fitdata_ntr_BO01562_B,fitdata_ntr_BO03125_B,fitdata_ntr_BO06250_B,fitdata_ntr_BO12500_B,fitdata_ntr_OR01562_R,fitdata_ntr_OR03125_R,fitdata_ntr_OR06250_R,fitdata_ntr_OR12500_R,fitstd_BO01562_B,fitstd_BO03125_B,fitstd_BO06250_B,fitstd_BO12500_B,fitstd_OR01562_R,fitstd_OR03125_R,fitstd_OR06250_R,fitstd_OR12500_R,stderr_BO01562_B,stderr_BO03125_B,stderr_BO06250_B,stderr_BO12500_B,stderr_OR01562_R,stderr_OR03125_R,stderr_OR06250_R,stderr_OR12500_R,tB,tR
139,1.00207721,1.001025025,1.00100475,1.00076375,1.00266215,1.0008734,1.00074495,1.000403,1.00146393419,1.00080567709,1.00040652169,1.00019210394,1.00281875956,1.00134217946,1.00073855133,1.00037116179,1.00147616196,1.00080947798,1.00040840935,1.00019459024,1.00282211442,1.00134558336,1.00073883202,1.00037206635,1.00135219933,1.00074427839,1.00037543349,1.0001773108,1.00260137206,1.00123852515,1.00068150773,1.00034248916,1.00138097039,1.00076047617,1.00038368802,1.00018117401,1.00262861921,1.00125189227,1.00068876939,1.00034614297,1.00135541783,1.00074421663,1.00037538431,1.00017790481,1.00260307632,1.00124058034,1.00068138076,1.00034305885,1.00138168618,1.00075982387,1.0003834455,1.00018130715,1.0026291051,1.00125280179,1.00068872674,1.00034641939,0.000265181818251,0.000153286930406,8.53036323171e-05,4.85864698659e-05,0.000224064262067,0.000115747704285,6.36063972217e-05,3.0587030406e-05,0.000242422321363,0.000217752872527,8.1372718862e-05,5.47063467525e-05,0.000168446212112,0.000106873088287,4.83523254353e-05,3.74686535653e-05,0.009830398,0.009830398
140,1.00166703,1.00090017,1.00097655,1.0007558,1.0018957,1.00096485,1.0006628,1.00038675,1.00131592644,1.00072422094,1.00036542123,1.00017268171,1.00253868493,1.00120881923,1.00066516816,1.0003342828,1.00132648192,1.00072739844,1.00036699741,1.00017485916,1.00254150323,1.00121178802,1.00066536777,1.00033507069,1.00121435524,1.00066840615,1.00033716155,1.00015923562,1.00234329656,1.00111565422,1.00061389708,1.00030851168,1.00124150319,1.00068367403,1.00034493854,1.00016287685,1.00236735849,1.00112746562,1.00062031201,1.00031173952,1.00121718378,1.00066831673,1.00033710026,1.00015976095,1.00234472196,1.0011174532,1.00061375397,1.00030901038,1.00124214341,1.0006830858,1.00034471959,1.00016299611,1.00236776796,1.00112827135,1.00062026623,1.00031198476,0.000257640087097,0.000148053575864,8.30210037753e-05,4.80992312646e-05,0.000220368287193,0.000113911245885,6.29487555675e-05,3.01523762814e-05,0.000255773426796,0.000141077742593,8.19387110895e-05,7.32990995852e-05,0.000186057049047,8.64273473792e-05,6.47148591901e-05,2.84029817977e-05,0.0106496,0.0106496
141,1.0016646,1.00084448,1.00096435,1.0007275,1.00157822,1.00090095,1.0006876,1.0003627,1.00119150052,1.00065574305,1.00033086924,1.00015635399,1.00230263061,1.0010964197,1.00060331889,1.00030320021,1.00120070176,1.00065842479,1.00033219785,1.0001582786,1.00230501908,1.00109903245,1.00060345601,1.00030389272,1.00109840234,1.00060458329,1.00030496763,1.00014403098,1.00212599325,1.00101219512,1.00055696794,1.00027990215,1.00112432893,1.00061914822,1.0003123829,1.00014750438,1.00214807949,1.00102303296,1.00056285497,1.00028286433,1.00110090951,1.00060447425,1.00030489798,1.00014449942,1.00212718934,1.00101378098,1.00055681267,1.00028034181,1.00112490815,1.00061861519,1.00031218447,1.00014761231,1.00214842669,1.00102375246,1.00056280706,1.00028308364,0.000250898364891,0.000143338553798,8.09787790037e-05,4.77033206943e-05,0.000217095281666,0.000112260810176,6.23796931225e-05,2.9765639731e-05,0.000246114225513,0.000175963363317,7.42656810041e-05,5.3494509064e-05,0.000246990453216,9.23470485451e-05,6.47811083573e-05,2.81653244256e-05,0.0114688,0.0114688
142,1.001240945,1.00136575,1.00092515,1.00080565,1.00177075,1.00090209,1.000494955,1.0003129,1.00108567438,1.00059750157,1.00030148225,1.00014246701,1.00210139657,1.00100060018,1.00055059298,1.0002767026,1.00109376418,1.00059978379,1.00030261145,1.0001441819,1.00210343639,1.00100291787,1.00055068148,1.00027731615,1.00099967549,1.000550242,1.00027755646,1.00013108515,1.00194080152,1.00092402449,1.00050845139,1.00025552034,1.00102462891,1.00056424517,1.00028468231,1.00013442441,1.0019617225,1.00093427957,1.0005140244,1.00025832439,1.00100191423,1.0005501191,1.00027748114,1.00013150584,1.00194180624,1.00092543066,1.00050828683,1.00025591021,1.00102515808,1.00056376013,1.00028450183,1.00013452294,1.00196201863,1.00093492666,1.00051397516,1.00025852192,0.000244822289383,0.000139058138121,7.91368626541e-05,4.73823241822e-05,0.000214173312631,0.000110765680224,6.18837496029e-05,2.94187346271e-05,0.000332305998176,0.000138143220518,0.000108515281758,5.18069143551e-05,0.000193672673279,0.000152979122252,6.80515901633e-05,2.92017037174e-05,0.012288,0.012288
143,1.0014584,1.000990545,1.00088,1.0007652,1.001013635,1.000883615,1.00052107,1.00029425,1.00099475009,1.00054746133,1.00027623338,1.00013053552,1.00192813348,1.00091809929,1.00050519582,1.00025388809,1.0010019169,1.00054941781,1.00027720009,1.00013207443,1.00192988736,1.00092016975,1.0005052462,1.00025443552,1.00091473105,1.00050348683,1.00025397193,1.00011994658,1.0017813143,1.0008480919,1.00046666891,1.00023452271,1.00093886191,1.00051701479,1.00026085286,1.00012317236,1.00180161136,1.00085802589,1.00047207095,1.00023724057,1.00091674294,1.00050335426,1.00025389287,1.00012032671,1.00178215736,1.00084934482,1.00046649717,1.00023487012,1.00093934969,1.00051657194,1.00026068829,1.00012326302,1.00180186424,1.00085861108,1.00047202072,1.00023741946,0.000239307262248,0.000135146700545,7.74639914957e-05,4.7123601778e-05,0.000211546444755,0.000109401874255,6.14489415295e-05,2.91053657716e-05,0.000242530414588,0.000160512374208,8.15478080637e-05,5.17241046322e-05,0.000307209047497,0.000137109169328,6.96311327999e-05,2.43036905634e-05,0.0131072,0.0131072
144,1.00114284,1.00096245,1.0008151,1.0007607,1.00152475,1.00067408,1.000445265,1.0002399,1.00084705765,1.0004661787,1.00023522048,1.00011115466,1.00164591593,1.00078371869,1.00043125118,1.00021672693,1.00085279384,1.0004676437,1.00023594225,1.00011241677,1.00164723522,1.00078540129,1.00043124762,1.00021717078,1.00077641648,1.00042735563,1.00021556936,1.00010180971,1.00152123782,1.00072426829,1.00039853405,1.00020028179,1.00079912514,1.0004400642,1.00022202847,1.00010483983,1.00154123494,1.00073402039,1.00040384527,1.00020295356,1.00077806799,1.00042721228,1.0002154867,1.00010212499,1.00152182421,1.00072527462,1.00039835242,1.00020056087,1.00079954867,1.00043969186,1.00022189072,1.0001049181,1.001541419,1.00073450563,1.00040379386,1.00020310235,0.000229645270028,0.000128231507177,7.4531046944e-05,4.67553891319e-05,0.000207009768546,0.000106995754767,6.07268279856e-05,2.85602758702e-05,0.000221240841777,0.000106102555931,6.79489477476e-05,3.98611402245e-05,0.000200718022048,8.70806412471e-05,4.96718805135e-05,2.32385348075e-05,0.0147456,0.0147456
145,1.000948905,1.000786285,1.00081445,1.0006958,1.001303595,1.000452625,1.000397675,1.000188805,1.00073278291,1.00040328753,1.00020348739,1.00009615903,1.00142683322,1.00067940035,1.00037384869,1.00018787909,1.00073747636,1.00040440744,1.00020403739,1.00009721542,1.00142784475,1.00068079597,1.000373811,1.00018824644,1.00066901912,1.00036824191,1.00018575086,1.00008772694,1.00131882598,1.00062789909,1.00034550617,1.00017363283,1.00069039872,1.00038019046,1.00019181998,1.00009057566,1.00133912924,1.0006377666,1.00035088811,1.00017633979,1.00067039943,1.00036809491,1.00018566779,1.000087993,1.00131921977,1.00062871691,1.00034531871,1.00017385968,1.00069077537,1.00037987469,1.00019170395,1.00009064469,1.00133926129,1.00063817492,1.00035083613,1.0001764654,0.000221422503706,0.000122281034365,7.20330598307e-05,4.65409137406e-05,0.000203224061703,0.000104929435562,6.01578166611e-05,2.81008976005e-05,0.000211757017767,0.000109191831946,5.77183452206e-05,3.359468708e-05,0.000212978362572,8.49219082084e-05,6.4883995282e-05,2.47395053255e-05,0.016384,0.016384
146,1.001031215,1.0007397,1.00078545,1.0006666,1.00118128,1.00060321,1.0003025,1.000184545,1.00064218144,1.00035342496,1.00017832815,1.0000842699,1.0012526439,1.00059645844,1.00032820884,1.00016494261,1.00064609227,1.00035429545,1.00017875418,1.00008516901,1.00125343143,1.00059763575,1.00032814944,1.00016525186,1.00058357984,1.00032121437,1.00016202893,1.00007652349,1.00115735436,1.00055102171,1.00030320382,1.00015237394,1.00060360879,1.00033239677,1.00016770632,1.00007918941,1.00117814447,1.00056109685,1.00030870574,1.00015514093,1.00058475055,1.00032106785,1.00016194724,1.00007675119,1.00115760045,1.00055169199,1.00030301327,1.0001525599,1.00060395022,1.00033212737,1.00016760824,1.00007925135,1.00117823543,1.00056144407,1.00030865341,1.00015524811,0.000214307994023,0.000117082083184,6.9870565047e-05,4.64419266162e-05,0.000200013355019,0.000103126190682,5.97047347579e-05,2.7707332662e-05,0.000236350169375,0.000121807349942,8.03831286714e-05,4.93477659069e-05,0.00023924328419,9.32926626e-05,6.52932546286e-05,3.25356077821e-05,0.0180224,0.0180224
147,1.001132495,1.000788285,1.0006096,1.00070825,1.00158095,1.00071444,1.000249975,1.00017172,1.00056889139,1.00031308973,1.00015797615,1.00007465245,1.00111139112,1.00052919957,1.0002911988,1.00014634307,1.00057220035,1.00031377558,1.00015831052,1.00007542845,1.00111201186,1.00053020694,1.00029112568,1.00014660716,1.0005142577,1.00028305804,1.00014278188,1.00006743343,1.00102592502,1.0004884476,1.00026877195,1.00013507034,1.00053287363,1.00029344416,1.00014805331,1.00006990943,1.0010471771,1.00049872302,1.00027438875,1.00013789483,1.00051526288,1.00028291439,1.00014270256,1.00006763062,1.00102605615,1.00048900029,1.00026858026,1.00013522371,1.0005331875,1.00029321318,1.00014797018,1.00006996575,1.00104723526,1.00049902083,1.00027433629,1.0001379871,0.000208068889048,0.000112483059019,6.7973446902e-05,4.64320363414e-05,0.000197254213586,0.000101531798272,5.9341676338e-05,2.73655950225e-05,0.000217700216752,0.000100725831661,6.88893097657e-05,4.12882474198e-05,0.000158773919064,0.000120359315884,4.46579566679e-05,2.78661951116e-05,0.0196608,0.0196608
