,C,D,a,color,dataset,lambdaem,lambdaex,n,r0,r0_stderr,v,w0,w0_stderr
0,2.637921408,389.4,0.522,B,BO01562,0.519,0.488,1.33,0.124215294918,0.00021469635147,0.680261902522,0.197370489468,0.00163379618173
1,5.275842816,389.4,0.522,B,BO03125,0.519,0.488,1.33,0.115259496926,0.000270162878443,0.611533771562,0.199666235791,0.00194069414186
2,10.551685632,389.4,0.522,B,BO06250,0.519,0.488,1.33,0.114512856031,0.000485984069436,0.610694068804,0.201780880902,0.00332486760799
3,21.103371264,389.4,0.522,B,BO12500,0.519,0.488,1.33,0.117914793272,0.00132148334597,0.695602233689,0.222599022141,0.00757957609443
4,1.304,404.98,0.652,R,OR01562,0.657,0.633,1.33,0.148424778431,0.000268445088759,1.58059197447,0.322901453704,0.00119198539081
5,2.608,404.98,0.652,R,OR03125,0.657,0.633,1.33,0.154306585648,0.000249641288947,1.68002569493,0.325352268054,0.00110034961255
6,5.217,404.98,0.652,R,OR06250,0.657,0.633,1.33,0.14157111023,0.000231507682352,1.51246178526,0.328140841479,0.000999600303253
7,10.434,404.98,0.652,R,OR12500,0.657,0.633,1.33,0.139487036305,0.000238018253942,1.52407612277,0.335443129713,0.000996945921841
