,C,D,F,F_stderr,color,dataset,tf,tf_stderr,v,wxy,wxy_stderr,wz,wz_stderr
0,2.298567298,389.4,0.01,0,B,BO01562,1e-09,0,1.22968537393,0.256652308999,0,3.35257766099,0
1,4.598606151,389.4,0.01,0,B,BO03125,1e-09,0,1.09922411896,0.252943093189,0,3.08543065202,0
2,9.197212302,389.4,0.01,0,B,BO06250,1e-09,0,1.10050136946,0.255417693376,0,3.02945022433,0
3,18.3944246,389.4,0.01,0,B,BO12500,1e-09,0,1.25120092087,0.274982470297,0,2.97161285271,0
4,1.312881026,404.98,0.01,0,R,OR01562,1e-09,0,2.35911513955,0.369683830846,0,3.1000122988,0
5,2.626602564,404.98,0.01,0,R,OR03125,1e-09,0,2.51052275694,0.375141828141,0,3.20367441149,0
6,5.253205128,404.98,0.01,0,R,OR06250,1e-09,0,2.24957270102,0.37002822344,0,2.95056728575,0
7,10.50641026,404.98,0.01,0,R,OR12500,1e-09,0,2.25905422373,0.374200121994,0,2.89730353841,0
