,Nfit,Nres,delta_t,g(t),std_err,std_err_fit
7,1.31031302399,-1.39759448474,1e-07,1.35568335,0.0221126678429,0.0324631547289
8,1.31022493043,-0.461544915512,1.125e-07,1.3245958,0.0306458271585,0.0311364486588
9,1.31013689048,0.564731205385,1.25e-07,1.29321685,0.0286415596351,0.029961228139
10,1.31004890408,-1.43447447545,1.375e-07,1.35152,0.0281982747281,0.0289103059175
11,1.30996097119,-0.0800910842946,1.5e-07,1.31220055,0.0307856476358,0.0279628978711
12,1.30987309175,-0.466387364898,1.625e-07,1.3225135,0.0311661514386,0.0271028102479
13,1.30978526571,-1.13306011657,1.75e-07,1.33960425,0.0335664822932,0.0263172128806
14,1.30969749301,-1.80294135243,1.875e-07,1.3558452,0.0356084263762,0.0255957893051
15,1.30960977362,-2.23256537768,2e-07,1.36526793,0.0328538977577,0.0249301350529
16,1.30943449452,-2.28780986264,2.25e-07,1.36374615,0.0177437172918,0.023739584466
17,1.30925942801,-1.79750573645,2.5e-07,1.3500676,0.0204820089029,0.0227026657903
18,1.30908457367,-2.35504563461,2.75e-07,1.3603978,0.0216224017325,0.021788633552
19,1.3089099311,-2.45051059723,3e-07,1.36030885,0.019757562936,0.0209747792807
20,1.30873549989,-2.5958750715,3.25e-07,1.36128615,0.0195348859119,0.0202439056817
21,1.30856127965,-5.06335782158,3.5e-07,1.40771555,0.0208851246772,0.0195827104954
22,1.30838726996,-2.23553369432,3.75e-07,1.3508193,0.021514301755,0.0189807159474
23,1.30821347112,-3.96725731605,3.999999e-07,1.3813282,0.025401235529,0.0184295403738
24,1.30786650023,-2.46957292081,4.5e-07,1.35096955,0.0182474968232,0.0174536452857
25,1.30752036657,-3.51603684844,4.999999e-07,1.3659347,0.0124392039243,0.0166136863608
26,1.30717506487,-1.37142969659,5.499999e-07,1.32895435,0.011653442559,0.0158807157122
27,1.30683059268,-3.85542378601,5.999999e-07,1.36556325,0.0166754369457,0.0152337746988
28,1.30648694684,-3.84247335717,6.499999e-07,1.36280705,0.0128941005465,0.0146572527432
29,1.30614412425,-2.227503614,6.999999e-07,1.33763935,0.0111166632791,0.0141392478778
30,1.30580212179,-2.28920824941,7.499999e-07,1.33709675,0.0161528765751,0.0136705029857
31,1.30546093705,-0.780708370969,7.999998e-07,1.3158004,0.0156218977502,0.0132436942326
32,1.30478100435,-3.34560220057,8.999999e-07,1.3465791,0.0109159025742,0.0124934445714
33,1.30410430378,-3.52828397637,9.999999e-07,1.3459256,0.0115134664479,0.0118531548203
34,1.30343080982,-2.51887378785,1.1e-06,1.3318902,0.0138066544897,0.0112984581917
35,1.3027604999,-2.78590694332,1.2e-06,1.33288155,0.00986923688095,0.0108119369075
