,C,D,F,F_stderr,a,color,dataset,lambdaem,lambdaex,n,r0,r0_stderr,tf,tf_stderr,v,w0,w0_stderr
0,2.298567298,389.4,0.499999954716,0.102759842456,0.522,B,BO01562,0.519,0.488,1.33,0.137996631738,0.000229353588964,4.61324488834e-08,6.9924369865e-08,0.768824118659,0.184562373281,0.00184808951833
1,4.598606151,389.4,0.0615581977379,0.0254101697389,0.522,B,BO03125,0.519,0.488,1.33,0.128593130457,0.000225906539662,1.26104139421e-06,9.05684053425e-07,0.697533412741,0.189231498478,0.0023693883624
2,9.197212302,389.4,0.0552040875877,0.0271088083461,0.522,B,BO06250,0.519,0.488,1.33,0.127924204727,0.000374503100931,2.66315006832e-06,2.60745090298e-06,0.702101196973,0.193422407984,0.00478167484447
3,18.3944246,389.4,0.481621962666,0.0520081355914,0.522,B,BO12500,0.519,0.488,1.33,0.111988455596,0.00693396950411,3.73372193041e-05,4.1538431883e-06,1.61995675793,0.423743177103,0.0421302624487
4,1.312881026,404.98,0.0507812494399,0.0123919832426,0.652,R,OR01562,0.657,0.633,1.33,0.147078896828,0.000257982139311,1.51234389726e-06,5.7459497261e-07,1.57925082832,0.326079419502,0.00122785093906
5,2.626602564,404.98,0.0438909595549,0.0091483523447,0.652,R,OR03125,0.657,0.633,1.33,0.152814459437,0.000241838116794,2.26707125593e-06,7.6707763597e-07,1.67982779752,0.329053366125,0.0011794778408
6,5.253205128,404.98,0.0402143867102,0.00606430333413,0.652,R,OR06250,0.657,0.633,1.33,0.139974065464,0.000225288997728,3.57113497845e-06,9.69879999095e-07,1.51704378489,0.33298369132,0.00113515200111
7,10.50641026,404.98,0.0301317652473,0.00480681858662,0.652,R,OR12500,0.657,0.633,1.33,0.137475358691,0.000314696929995,1.22775960282e-05,3.88934180634e-06,1.54103375819,0.343376569732,0.00202548135517
