,C,D,color,dataset,v,wxy,wxy_stderr,wz,wz_stderr
0,2.637921408,389.4,B,BO01562,1.07486222953,0.258168089457,0.00113054594631,2.89616213666,0.0149445199375
1,5.275842816,389.4,B,BO03125,0.961058247326,0.254463787956,0.00122901118318,2.66546463841,0.0153585822423
2,10.551685632,389.4,B,BO06250,0.961581188038,0.2567503006,0.00196081243774,2.6196256121,0.0244085387947
3,21.103371264,389.4,B,BO12500,1.09250854687,0.27620563111,0.00431255433199,2.57178688485,0.0486588541705
4,1.304,404.98,R,OR01562,2.37474248298,0.369527683788,0.00100296443754,3.12318530721,0.0107484523572
5,2.608,404.98,R,OR03125,2.52799766099,0.374992906839,0.000923583717996,3.22853688828,0.0101151926905
6,5.217,404.98,R,OR06250,2.26476622384,0.369866541035,0.000891075448656,2.97309289289,0.00915350148509
7,10.434,404.98,R,OR12500,2.27431146786,0.374032712579,0.000816346636286,2.91948305177,0.00818781759982
