,Nfit,Nres,delta_t,g(t),std_err,std_err_fit
7,1.25808934238,0.657914646938,1e-07,1.2483413,0.0114392248337,0.0148165822931
8,1.25804620854,1.24184254567,1.125e-07,1.2405571,0.0159616548935,0.0140831965612
9,1.2580030906,-1.35427458665,1.25e-07,1.27621605,0.0118102054073,0.0134484951936
10,1.25795998856,-0.603282551244,1.375e-07,1.26573745,0.0100585458672,0.0128918983306
11,1.2579169024,-1.00365530089,1.5e-07,1.27036065,0.0137497499572,0.0123984235102
12,1.25787383211,-1.58864173904,1.625e-07,1.276869,0.011973345977,0.0119568580516
13,1.25783077768,0.437987774136,1.75e-07,1.25276825,0.0133339280458,0.0115586144282
14,1.25778773911,1.29410666154,1.875e-07,1.24329765,0.0116101551325,0.0111969852755
15,1.25774471639,-0.841417162423,2e-07,1.2668881,0.0148878303894,0.0108666424932
16,1.25765871843,-3.09362714759,2.25e-07,1.2894718,0.00850663545199,0.010283423285
17,1.25757278375,-0.840906270313,2.5e-07,1.2657994,0.0117820220596,0.00978303102064
18,1.25748691227,-1.37182239334,2.75e-07,1.27031,0.0116653417877,0.00934748089684
19,1.2574011039,0.822566682482,3e-07,1.25002775,0.00723060221277,0.00896384229394
20,1.25731535858,-0.782696931992,3.25e-07,1.2640642,0.0114736950852,0.0086225421682
21,1.25722967624,1.14032801172,3.5e-07,1.24774635,0.0109395538975,0.00831631798558
22,1.25714405679,-0.788476114623,3.75e-07,1.26348305,0.00996695786398,0.00803954485775
23,1.25705850052,-1.01277079178,3.999999e-07,1.26494575,0.00758141239146,0.00778778913737
24,1.25688757512,0.241836339647,4.5e-07,1.2551111,0.00702193651135,0.00734579109498
25,1.25671690083,1.2129174238,4.999999e-07,1.248264,0.00551798579964,0.00696906876842
26,1.25654647604,0.138059011922,5.499999e-07,1.25562935,0.00584475410145,0.00664302986418
27,1.2563763005,1.46362166852,5.999999e-07,1.24707165,0.00614113362022,0.00635728125351
28,1.25620637363,-0.674761588216,6.499999e-07,1.26032525,0.00546836554917,0.00610418901669
29,1.25603669485,-0.428428051155,6.999999e-07,1.258555,0.00615123356775,0.00587800226194
30,1.25586726359,-1.59962301515,7.499999e-07,1.264944,0.00484932876231,0.0056742946497
31,1.25569807961,-0.65881278613,7.999998e-07,1.2593147,0.00704034430554,0.00548959640348
32,1.25536044916,-0.854858329085,8.999999e-07,1.25977725,0.00485792193375,0.00516670027065
33,1.25502379994,-0.845219934585,9.999999e-07,1.25915935,0.0044901297828,0.00489286375795
34,1.25468812674,0.352430947218,1.1e-06,1.2530469,0.00432595590298,0.00465688618704
