,C,D,color,dataset,v,wxy,wxy_stderr,wz,wz_stderr
0,0.8289059999999999,419.01,B,BR00781,1.464491505140361,0.3044902572068306,0.0011482091054834558,2.8367119992892964,0.012522322224569072
1,0.8125,400.7,R,BR00781,3.2898962223662886,0.4041542848643796,0.0026990250755109424,3.6171208118864073,0.03061306054259256
2,1.6578119999999998,419.01,B,BR01562,1.474472206181144,0.30274198271895053,0.00117479084483394,2.8891259805544087,0.013332201398980576
3,1.625,400.7,R,BR01562,3.0959905951059215,0.4057150189432979,0.0009114060303797586,3.3777900640437997,0.009713118434926732
4,3.315625,419.01,B,BR03125,1.4597971808201364,0.30483235857638663,0.0013383264908083273,2.821276028669544,0.015275710213550365
5,3.25,400.7,R,BR03125,2.894742232016464,0.4022429505934861,0.0009680751006139267,3.2129813502895317,0.009975700979139053
6,6.63125,419.01,B,BR06250,1.5995125100229075,0.31136430584951263,0.0019614693976968073,2.962955869541513,0.02311689062875195
7,6.5,400.7,R,BR06250,3.296388483544299,0.41748832441834344,0.002101922999326207,3.3964475344183267,0.022359152061024817
8,13.2625,419.01,B,BR12500,1.4858339408716252,0.31051772324904947,0.00261448727291281,2.767404732280095,0.02929299394616276
9,13.0,400.7,R,BR12500,2.7878870785640535,0.4097256625606182,0.002928175512273406,2.9823872741934268,0.028710593213924475
