delta_t,meanB,meanR,stdB,stdR
1.25e-08,1.7279226249999997,1.3252540000000004,0.2629795244748807,0.068496464060198
2.5e-08,3.257311575,1.3782745000000003,0.4040308898434553,0.09806324934729628
3.75e-08,3.282056549999999,1.73381475,0.3089859942320161,0.13823025774712822
5e-08,2.0819904750000005,1.5169929500000001,0.23590630318878586,0.16112911966074753
6.25e-08,1.80381265,1.3399529499999996,0.16454195580072428,0.06898492809300813
7.5e-08,1.8150592749999999,1.33266375,0.17274432240090956,0.06661863037760159
8.75e-08,1.7060703500000003,1.3367971250000001,0.21025715195678243,0.08290870639449986
1e-07,1.711453,1.3215963250000005,0.17195857825418306,0.07080495040404572
1.125e-07,1.735265875,1.3472729500000002,0.177750130718825,0.0797953095557471
1.25e-07,1.74466205,1.3307783500000003,0.20712633182721482,0.06865996174137809
1.375e-07,1.7478293999999999,1.3478553749999997,0.21804165402094622,0.06474085027889558
1.5e-07,1.7375634999999998,1.32147295,0.17088751890234696,0.07201075992862109
1.625e-07,1.7662053250000007,1.350461525,0.20359566282995661,0.08441049771977052
1.75e-07,1.7146563249999995,1.3415649,0.22945704620008808,0.07772148267300359
1.875e-07,1.7226124750000005,1.3416511249999998,0.18611430825677905,0.06774245919332551
2e-07,1.745931525,1.319185475,0.19881994429332125,0.09346683639050474
2.25e-07,1.7206799750000001,1.327886,0.12227157571702581,0.045887792268205704
2.5e-07,1.733313275,1.3328815749999998,0.1276350350665889,0.058482125828276575
2.75e-07,1.717524375,1.3400658,0.12605132292913224,0.04856626404264591
3e-07,1.7315094500000001,1.334042825,0.10732533758389722,0.053076583911781404
3.25e-07,1.761507725,1.3305597750000004,0.1281691497153249,0.050756283290094975
3.5e-07,1.7557655750000005,1.3389997499999993,0.14317402433732304,0.04591313355116922
3.75e-07,1.7151627749999996,1.3378180000000002,0.13863715148121147,0.05125202866180031
3.999999e-07,1.7330618999999998,1.3487764749999998,0.13604068317892998,0.05002892067044196
4.5e-07,1.7587093250000003,1.331035975,0.10380262844802811,0.042394520468739524
4.999999e-07,1.7438353999999996,1.3372587749999998,0.1060721266431007,0.03610343600856261
5.499999e-07,1.7297734249999999,1.3374467750000005,0.07976595662307558,0.04383097068368865
5.999999e-07,1.7351084500000007,1.3227653499999996,0.09107947395295767,0.031688875685759184
6.499999e-07,1.77879565,1.3289607499999996,0.09884797566327547,0.03441951009438543
6.999999e-07,1.71209265,1.3378345250000006,0.11105018564697448,0.03629366654320522
7.499999e-07,1.7290385750000001,1.3444256250000002,0.1033161313628921,0.025089577283891714
7.999998e-07,1.7523409749999999,1.3426585500000003,0.0839258532073066,0.03904002322870082
8.999999e-07,1.7033390000000002,1.3342150999999998,0.06387534135525226,0.029130054490851886
9.999999e-07,1.712155875,1.3342741499999997,0.0696246700858207,0.026539192598447687
1.1e-06,1.7369035249999996,1.3342782249999996,0.06917150970377452,0.026504107390636193
1.2e-06,1.7223989250000002,1.3280529749999999,0.07862315852832023,0.0222021220984476
1.3e-06,1.7257087000000002,1.33200735,0.06983696926671434,0.0232927332751547
1.4e-06,1.7122977000000001,1.3254398500000002,0.07782356319817282,0.029323017826061136
1.5e-06,1.7277856999999996,1.3232568750000002,0.06346050690003979,0.02216082498034257
1.6e-06,1.690354575,1.3245065249999999,0.05828524068487987,0.025266512136608278
1.8e-06,1.6997143750000003,1.32471255,0.05874260980654822,0.019301289956826718
