delta_t,meanB,meanBR,meanR,stdB,stdR,stdRB
1.25e-08,2.5326782,1.1773788833333332,1.9541872666666664,0.45581544304746846,0.08270276691982892,0.15818250103128786
2.5e-08,3.2707697999999996,1.1314838199999997,2.235593533333333,0.3443501101611943,0.12042286977030378,0.15140092383182782
3.75e-08,4.9309208,1.1741983133333336,3.5365522000000005,0.632914540918356,0.18465829657331947,0.11489954379795636
5e-08,2.9803392,1.1343917233333334,2.473054066666667,0.531879256815705,0.0974479641275053,0.0845152133698925
6.25e-08,2.2426573333333337,1.1154391599999998,1.9608488666666668,0.37070822166778133,0.11242745467714824,0.14019468070459878
7.5e-08,2.4198470666666667,1.1563153766666665,1.9500940666666666,0.3740884973483265,0.10750435452480776,0.12266372001131842
8.75e-08,2.4469875333333335,1.1180843333333332,1.9053702,0.3377682575289092,0.09466261938498573,0.11023119394254162
1e-07,2.284236733333334,1.1238090533333334,2.0162496666666665,0.4566678351138045,0.152430863287663,0.14435847770122756
1.125e-07,2.2859073333333337,1.2162642566666666,1.8982862666666667,0.2950110787715532,0.10767477571617638,0.15081452044958113
1.25e-07,2.455430133333333,1.1215845033333331,1.9576364,0.3833569985801515,0.09768764581651733,0.15026693936907853
1.375e-07,2.3560879333333333,1.1823791733333333,1.9460967333333332,0.34543532005504135,0.11901823884120544,0.13824435713699115
1.5e-07,2.497149133333333,1.13911629,1.9809891333333334,0.3507620980681667,0.10719449352329417,0.16619971905200753
1.625e-07,2.5182603333333335,1.1457047699999998,1.9581645333333333,0.4287184697308428,0.03793924430431135,0.1708583256320943
1.75e-07,2.4954068,1.1997217699999998,1.9753318,0.4035881657758232,0.08411912923800392,0.17233048070852922
1.875e-07,2.4016188666666665,1.1894171133333333,1.9825327333333331,0.3502313331240494,0.10442685927063446,0.1659860763250736
2e-07,2.3270816666666665,1.1801370033333332,1.9413373999999999,0.454418964417444,0.06218171036545503,0.12155054554889358
2.25e-07,2.5448888,1.172629866666667,1.9148145999999997,0.28892653430383763,0.06177903698375365,0.10529765525396198
2.5e-07,2.580552266666667,1.1613721333333333,1.9013322666666665,0.26385323975838454,0.06592377578331576,0.1126319941035741
2.75e-07,2.4991128666666667,1.166413783333333,1.9522883333333332,0.2338279640889478,0.08442654226301635,0.10307459420703721
3e-07,2.5112595333333334,1.1403713466666667,1.9228966000000007,0.1533224179563518,0.07338031687112469,0.1071611643256167
3.25e-07,2.622593466666667,1.1370574999999998,1.9563578666666668,0.3109760089455705,0.06570689982020322,0.09163976234172223
3.5e-07,2.4550510666666665,1.1817348166666666,1.9770480666666665,0.1769737401459952,0.0433714652960779,0.11257917954695437
3.75e-07,2.3312199333333337,1.1579066166666665,1.9847705333333332,0.31380985905490955,0.07753532613449315,0.09006953809471172
3.999999e-07,2.4042638,1.1472632733333334,1.9604550000000003,0.2752659411021034,0.06638515061166414,0.11082002067368794
4.5e-07,2.4687255333333336,1.1466929733333335,1.9312198666666667,0.1795949856385627,0.040219767908938615,0.08445465920453385
4.999999e-07,2.5178873333333334,1.1233732600000002,1.9247703333333335,0.17764801306053368,0.0491386017989478,0.08404551133459619
5.499999e-07,2.4350272666666664,1.1436843633333333,1.9168167999999999,0.21930338238141442,0.05853873229147799,0.06970391966599146
5.999999e-07,2.507728933333333,1.167628533333333,1.9150446666666667,0.14327322919301969,0.04624382841946465,0.08152862000865435
6.499999e-07,2.495897,1.1427818366666669,1.9114347333333335,0.21057119498766522,0.05252387869590578,0.07922459828420497
6.999999e-07,2.3995532,1.128971443333333,1.9220021333333333,0.13602754369817896,0.05725012214119912,0.0802252310950185
7.499999e-07,2.455769533333333,1.16842302,1.9316247333333336,0.1979755160534981,0.058573379483022985,0.0792758048300127
7.999998e-07,2.4346014666666664,1.1371389666666671,1.9056062,0.18527800868024125,0.045042705167725766,0.06682784998560772
8.999999e-07,2.4206774,1.160197966666667,1.9175541333333337,0.14395517881794548,0.029843676826348923,0.05158687674495219
9.999999e-07,2.4471710666666673,1.1401927333333337,1.9151225333333337,0.1550438547153532,0.0268666249111338,0.05270991111478835
1.1e-06,2.4438712,1.1532775000000002,1.9049736000000002,0.12053948712307239,0.03645636714722593,0.051141824086716615
1.2e-06,2.4117104,1.1427626666666666,1.9292541333333335,0.16811343636874085,0.04352358273528911,0.04685474694865209
1.3e-06,2.4373904,1.1589169133333335,1.9282582666666666,0.12869883829612966,0.047446207961531414,0.06237086569933505
1.4e-06,2.3905912666666667,1.1484665333333333,1.9329344666666664,0.19636701867148898,0.03739193652445524,0.06306214232524049
