delta_t,meanB,meanR,stdB,stdR
0.0006144,1.0052793,1.00813315,0.000609637,0.000286143
0.0006656,1.0047494,1.00756945,0.000687864,0.000298002
0.0007168,1.0049163,1.0069688,0.0005003,0.000249549
0.000768,1.0044727,1.0065689,0.000574626,0.000281959
0.0008192,1.00429965,1.00628095,0.000656383,0.000253369
0.0009216,1.00359485,1.0054386,0.000352802,0.000214704
0.001024,1.0032332,1.0048878,0.000402602,0.000282594
0.0011264,1.00297175,1.00438085,0.000387854,0.000220071
0.0012288,1.00291,1.00398905,0.00030621,0.000262625
0.0013312,1.0026294,1.003644,0.000363168,0.000259074
0.0014336,1.00257855,1.00336895,0.000402715,0.000251304
0.001536,1.00248415,1.00313505,0.000381256,0.000250507
0.0016384,1.00211225,1.00298605,0.000571553,0.000294251
0.0018432,1.0020665,1.00256105,0.00026303,0.000211026
0.002048,1.0019555,1.0022916,0.000315924,0.000189879
0.0022528,1.0017752,1.0020401,0.000263622,0.000183781
0.0024576,1.0015444,1.00180355,0.000207774,0.00021045
0.0026624,1.001586,1.00161275,0.000208317,0.000169746
0.002867199,1.00148665,1.0015128,0.00031199,0.000126126
0.003071999,1.00137215,1.00139815,0.000295755,0.000142435
0.003276799,1.00136465,1.00127185,0.000338475,0.000196359
0.003686399,1.00135855,1.00107995,0.000201235,9.94E-05
0.004096,1.001229,1.00096625,0.000241705,0.000124812
0.004505599,1.00109135,1.0008704,0.000223249,0.000195337
0.004915199,1.00113225,1.00084395,0.000281139,0.0001907
0.005324799,1.00110785,1.0008311,0.000220421,0.000182618
0.005734399,1.0010444,1.00072455,0.000242487,0.000192968
0.006143999,1.00099425,1.0006971,0.000309244,0.000144799
0.006553599,1.0009117,1.00060225,0.000231713,0.000147521
0.007372799,1.0008788,1.00054095,0.000224531,0.000144075
0.008191999,1.0008631,1.0005451,0.000253152,0.000154594
0.009011199,1.0008602,1.00045885,0.000199215,0.000169436
0.009830398,1.00076375,1.000403,0.000244654,0.000167565
0.0106496,1.0007558,1.00038675,0.000327804,0.000127022
0.0114688,1.0007275,1.0003627,0.000239235,0.000125959
0.012288,1.00080565,1.0003129,0.000231688,0.000130594
0.0131072,1.0007652,1.00029425,0.000231317,0.000108689
0.0147456,1.0007607,1.0002399,0.000178264,0.000103926
0.016384,1.0006958,1.000188805,0.00015024,0.000110638
0.0180224,1.0006666,1.000184545,0.00022069,0.000145504
0.0196608,1.00070825,1.00017172,0.000184647,0.000124621
0.0212992,1.00068485,1.00013859,0.000163372,0.000121543
0.0229376,1.00072955,1.000163785,0.000153799,0.000127393
0.024576,1.0006241,1.00014396,0.000148638,9.56E-05
0.02621439,1.00064195,1.000128055,0.000154623,0.000162003
0.0294912,1.0006505,1.00013583,0.000150289,9.56E-05
0.032768,1.0006571,1.0001193,0.000163233,9.98E-05
0.0360448,1.00062605,1.000077725,0.000164448,0.000103065
0.03932159,1.0006479,1.00009757,0.000118836,7.02E-05
0.04259839,1.00071325,1.000107845,0.000144569,8.94E-05
0.04587519,1.00065175,1.000101885,0.000139886,7.97E-05
0.04915199,1.00062865,1.00014595,0.000163188,0.000102893
0.05242879,1.0006747,1.000109555,0.000145516,9.03E-05
0.05898239,1.00062145,1.000107775,0.000126583,8.33E-05
0.06553599,1.0005988,1.00007125,0.00013211,7.86E-05
0.07208959,1.0006402,1.000103195,0.000119572,0.000127443
0.07864319,1.00060415,1.0000982,0.00013324,6.13E-05
0.08519679,1.000603,1.00006543,0.000154518,7.18E-05
0.09175038,1.0005903,1.00006437,0.000144839,6.38E-05
0.09830398,1.00060065,1.00005342,8.32E-05,6.69E-05
0.1048576,1.00058115,1.000075815,0.000144022,0.000115695
0.1179648,1.0005944,1.000044525,9.63E-05,6.63E-05
0.131072,1.0005646,1.00004431,8.81E-05,4.95E-05
0.1441792,1.00058875,1.00005986,0.000124762,5.20E-05
0.1572864,1.0005763,1.00005981,0.000124139,9.02E-05
0.1703936,1.00055185,1.000023005,0.000114523,4.74E-05
0.1835008,1.0005486,1.000029005,9.76E-05,4.41E-05
0.196608,1.00055315,0.99998586,0.000128697,4.75E-05
0.2097152,1.0005385,1.000015485,8.72E-05,4.43E-05
0.2359296,1.00054715,1.0000421,6.82E-05,3.91E-05
0.262144,1.0005217,1.00005036,0.000100531,4.82E-05
0.2883584,1.00052135,1.00005371,8.38E-05,3.51E-05
0.3145728,1.00050855,1.000045225,0.000106739,5.19E-05
0.3407871,1.0005052,1.00003783,0.000112062,5.39E-05
0.3670015,1.00050005,1.00001558,0.00010316,5.35E-05
0.3932159,1.0005128,1.00003366,0.000104645,4.33E-05
0.4194303,1.00049055,1.000017885,9.81E-05,4.05E-05
0.4718591,1.00048875,1.000030565,9.26E-05,3.56E-05
0.5242879,1.00048195,1.000034665,0.0001022,4.34E-05
0.5767167,1.0004736,1.000023655,0.00010703,3.73E-05
0.6291455,1.00046835,1.00003787,9.78E-05,3.61E-05
0.6815743,1.0004497,1.00003912,0.000102524,3.67E-05
0.7340031,1.000434,1.000014835,0.000115816,2.98E-05
0.7864318,1.00044035,1.00001369,0.000100808,4.36E-05
0.8388606,1.0004156,1.000037815,0.00010404,3.59E-05
0.9437183,1.00040605,1.000008615,9.65E-05,3.00E-05
1.048576,1.0003946,1.000023875,9.68E-05,3.26E-05
1.153433,1.00037535,1.00000923,0.000100349,2.63E-05
1.258291,1.00035785,1.00001687,0.000107706,2.78E-05
1.363149,1.0003431,1.00000564,9.66E-05,3.59E-05
1.468006,1.0003155,1.000005635,0.000107922,3.11E-05
1.572864,1.00028685,1.000004925,8.56E-05,2.34E-05
1.677721,1.0002649,1.00001282,0.000102187,5.20E-05
1.887437,1.0002181,1.00000704,9.87E-05,2.59E-05
2.097152,1.0001919,1.000004395,8.30E-05,3.17E-05
2.306867,1.00017065,0.99999687,8.44E-05,2.92E-05
2.516582,1.00013532,1.00000518,8.48E-05,3.11E-05
2.726297,1.000116565,1.000007725,8.35E-05,3.27E-05
2.936012,1.00007402,1.00000733,7.73E-05,2.83E-05
3.145727,1.000068485,1.00000987,9.67E-05,3.69E-05
3.355443,1.0000504,1.000009455,0.000109049,2.60E-05
3.774873,1.000018775,1.000004475,0.000106288,3.15E-05
4.194304,1.000005515,1.0000055,0.000111816,1.97E-05
4.613734,0.999992285,0.999998055,0.000127465,1.99E-05
5.033164,0.999994455,1.000004115,0.000137798,2.13E-05
5.452594,0.99998236,1.00000262,0.000161952,2.84E-05
5.872025,0.9999803,1.00001481,0.000164732,1.98E-05
6.291455,0.99998878,0.99999764,0.00017317,2.09E-05
6.710885,0.99997199,0.999997835,0.000178783,1.69E-05
7.549746,0.99997987,0.99999947,0.000137522,1.70E-05
8.388607,0.99999609,1.000006055,9.95E-05,1.64E-05
9.227468,1.000029575,0.999997595,8.40E-05,1.35E-05
10.06633,1.000045475,0.999997755,7.27E-05,1.56E-05
10.90519,1.000020905,0.99999085,8.37E-05,1.86E-05
11.74405,0.9999927,0.999992225,0.000106161,1.77E-05
12.58291,0.999970065,0.99998835,0.000127,1.46E-05
13.42177,0.99994736,0.99999375,0.000122126,2.42E-05
15.09949,0.999931885,0.99999549,0.000102093,1.74E-05
16.77721,0.9998985,0.99999319,0.000106028,1.64E-05
18.45494,0.999928085,0.99999562,8.98E-05,1.63E-05
20.13266,1.000005355,0.999999275,0.000102705,8.32E-06
21.81038,1.00005703,0.99999586,0.00011755,1.59E-05
23.4881,1.00004348,0.999992465,0.000107909,1.71E-05
25.16582,0.999980265,0.99999891,0.000121256,2.11E-05
26.84354,0.999974115,1.000002935,0.00015135,2.07E-05
30.19898,1.000010495,1.00000434,0.000126835,1.54E-05
33.55443,1.000001155,1.000004005,0.000140284,9.39E-06
36.90987,0.99995739,1.00000386,0.000165506,1.47E-05
40.26531,1.000002575,0.99999417,0.000172624,1.40E-05
43.62075,1.00003863,0.999995295,0.00021863,1.03E-05
46.9762,1.000133305,0.999999965,0.00013648,1.23E-05
50.33164,0.99994282,1.00000466,0.000117967,1.30E-05
53.68708,1,1,0,0
60.39797,0,0,0,0
67.10886,0,0,0,0
73.81974,0,0,0,0
80.53062,0,0,0,0
87.24151,0,0,0,0
93.95239,0,0,0,0
100.6633,0,0,0,0
107.3742,0,0,0,0
120.7959,0,0,0,0
134.2177,0,0,0,0
147.6395,0,0,0,0
161.0612,0,0,0,0
174.483,0,0,0,0
187.9048,0,0,0,0
201.3266,0,0,0,0
214.7483,0,0,0,0
241.5919,0,0,0,0
268.4354,0,0,0,0
295.279,0,0,0,0
322.1225,0,0,0,0
348.966,0,0,0,0
375.8096,0,0,0,0
402.6531,0,0,0,0
429.4966,0,0,0,0
483.1837,0,0,0,0
536.8708,0,0,0,0
590.5579,0,0,0,0
644.245,0,0,0,0
697.9321,0,0,0,0
751.6191,0,0,0,0
805.3062,0,0,0,0
858.9933,0,0,0,0
