,Gfit,NRfit,NRres,NTRfit,NTRres,NTfit,NTres,Nfit,Nres,Tfit,Tres,delta_t,g(t),std_err,std_err_fit
7,1.13958272125,1.14110720849,-0.601494338566,1.14524339203,-0.0686744865569,1.14488645741,-0.114654481846,1.14075913857,-0.646331963084,1.13958272165,-0.797876783308,1e-07,1.1457765,0.036758551,0.00776282424329
8,1.13956160051,1.14108417655,-1.08534535448,1.14520099594,-0.522721801085,1.14484837317,-0.570912819489,1.14073661811,-1.13284380428,1.13956160091,-1.29342680178,1.13e-07,1.14902585,0.022619031,0.00731718870297
9,1.13954211004,1.14106292477,-0.91968458294,1.14516191143,-0.331408539672,1.1448132657,-0.381445239563,1.14071583668,-0.969497245353,1.13954211044,-1.13794712247,1.25e-07,1.1474711,0.034037181,0.00696780043025
10,1.13952100144,1.14103990882,-0.523033423371,1.14511943317,0.0912732213817,1.14477528363,0.0394502244513,1.14069333068,-0.575221626125,1.13952100184,-0.751754003759,1.38e-07,1.1445133,0.02805442,0.00664086526688
11,1.13950152218,1.14101867319,-0.038872041382,1.14508070817,0.598128313146,1.14474027024,0.544741547774,1.14067256259,-0.0931478646115,1.13950152257,-0.276787738041,1.5e-07,1.14126655,0.028251048,0.00637682264881
12,1.13948042571,1.14099567364,0.620970633763,1.14503860088,1.28118410237,1.14470238985,1.22628059883,1.14065007104,0.564534022178,1.1394804261,0.373530343922,1.63e-07,1.13719305,0.029649821,0.00612367174146
13,1.13946095764,1.14097445295,-1.69974213394,1.14499980357,-1.01920727842,1.1446674701,-1.07539227894,1.14062931627,-1.75809111597,1.13946095803,-1.9556160465,1.75e-07,1.1510284,0.032134404,0.00591498565345
14,1.13943987329,1.14095147089,-0.299108876779,1.14495785055,0.402361575521,1.1446296909,0.344904687975,1.14060683915,-0.359449256428,1.13943987368,-0.563770967469,1.88e-07,1.1426598,0.030787549,0.00571140657228
15,1.13942041641,1.14093026395,-0.408801755933,1.14491919458,0.31108649578,1.14459486433,0.252554181415,1.1405860977,-0.470913308193,1.1394204168,-0.681285104266,2e-07,1.14319545,0.031711011,0.00554104599011
16,1.13937989847,1.14088610618,-2.33362015483,1.14483888022,-1.57785351269,1.14452245202,-1.63835423457,1.14054290685,-2.39923885801,1.13937989885,-2.62160448728,2.25e-07,1.1530913,0.016468011,0.00523015585027
17,1.13933940378,1.14084197881,-1.6157368442,1.14475886036,-0.827048079011,1.14445023221,-0.889192248304,1.14049974369,-1.68464732632,1.13933940416,-1.91828857961,2.5e-07,1.14886625,0.029200296,0.00496632510529
18,1.13929893235,1.14079788307,-0.901057757383,1.14467912957,-0.0820093917016,1.14437820401,-0.145512800061,1.14045660819,-0.973075274525,1.13929893272,-1.21737578552,2.75e-07,1.14506775,0.017386851,0.00473873083506
19,1.13925848414,1.14075381754,1.175684937,1.14459968774,2.02284049656,1.14430636648,1.95822871341,1.14041350033,1.1007217655,1.13925848451,0.846299160948,3e-07,1.1354165,0.017863439,0.00453974881362
20,1.13921805913,1.14070978336,-0.0786625386255,1.14452053216,0.794595893576,1.14423471871,0.729099899709,1.14037042007,-0.156429048804,1.1392180595,-0.420499651742,3.25e-07,1.14105305,0.022537326,0.0043638309584
