,C,C_stderr,D,F,F_stderr,a,chisq,fit,lambdaem,lambdaex,n,r0,r0_stderr,tf,tf_stderr,v,w0,w0_stderr,wxy,wxy_stderr,wz,wz_stderr
0,3.20587898197,0.074762477849,404.98,,,,320.748391205,fcs,,,,,,,,2.06825296368,,,0.380152140785,0.00105672866488,2.57018251799,0.06777283921
1,3.20587626017,0.0,404.98,0.02,0.0,,320.748391199,fcs_t,,,,,,1e-09,0.0,2.06825296368,,,0.380152147001,0.0,2.57018472936,0.0
2,2.48528482861,0.0317297369057,404.98,,,0.652,218.88263081,fcs_n,0.657,0.633,1.33,0.147586246023,0.00183236781493,,,2.64355760622,0.331585387247,0.00199221168785,,,,
3,2.5571317704,0.0300161210889,404.98,0.0466633098111,0.00633467129996,0.652,145.848752133,fcs_nt,0.657,0.633,1.33,0.142949936975,0.00173053341687,3.65922205053e-06,9.14750041217e-07,2.59763754379,0.339698757764,0.00224292003236,,,,
4,1.70080737594,0.0185944248307,404.98,,,0.652,199.506774642,fcs_nr,0.657,0.633,1.33,0.194749732729,0.00196577719707,,,2.44592081229,0.318422473849,0.00204839219347,,,,
5,1.73695274359,0.0180022456456,404.98,0.0449256945888,0.00708949580098,0.652,142.409379587,fcs_ntr,0.657,0.633,1.33,0.190455900074,0.00192624704919,2.87964147328e-06,8.02435910505e-07,2.4174533959,0.325639956901,0.00232363952517,,,,
