,C,C_stderr,D,F,F_stderr,a,chisq,fit,lambdaem,lambdaex,n,r0,r0_stderr,tf,tf_stderr,v,w0,w0_stderr,wxy,wxy_stderr,wz,wz_stderr
0,3.90379076568,0.323718311159,389.4,,,,283.722628228,fcs,,,,,,,,1.29097971795,,,0.251503876765,0.00127278657514,3.66526384281,0.317921942524
1,3.90378403175,0.0,389.4,0.02,0.0,,283.722628228,fcs_t,,,,,,1e-09,0.0,1.29097971795,,,0.251503859124,0.0,3.66527051929,0.0
2,4.45429632691,0.0991276788708,389.4,,,0.522,246.230593976,fcs_n,0.519,0.488,1.33,0.123761813973,0.00202505375708,,,1.09382501168,0.190878050882,0.00266909272006,,,,
3,4.56663857688,0.10876061866,389.4,0.0723123770162,0.0202098483029,0.522,221.854322909,fcs_nt,0.519,0.488,1.33,0.121487117973,0.00221561457973,1.75901918486e-06,9.47392490766e-07,1.08776570781,0.197808446686,0.00391108747638,,,,
4,3.22247195228,0.064387727262,389.4,,,0.522,271.148137566,fcs_nr,0.519,0.488,1.33,0.152375299699,0.0020517094752,,,0.950966023249,0.180942989088,0.00269746688337,,,,
5,3.27107598693,0.0693664596397,389.4,0.0635045064153,0.0243227890266,0.522,255.17082768,fcs_ntr,0.519,0.488,1.33,0.151055048463,0.00218876592751,1.44844521303e-06,1.03938731704e-06,0.951608095101,0.186242853127,0.00403614579657,,,,
