,C,D,a,color,dataset,lambdaem,lambdaex,n,r0,r0_stderr,v,w0,w0_stderr
0,2.386967407,389.4,0.522,B,BR01562,0.519,0.488,1.33,0.177439397317,0.000455340643247,1.11161274914,0.168381769709,0.00234350501887
1,1.312881026,404.98,0.652,R,BR01562,0.657,0.633,1.33,0.205465230748,0.000333994987861,2.32836049025,0.30027683035,0.00160836034936
2,4.775462963,389.4,0.522,B,BR03125,0.519,0.488,1.33,0.165984289023,0.000351256190382,0.998509977273,0.169886855085,0.00212375791416
3,2.626602564,404.98,0.652,R,BR03125,0.657,0.633,1.33,0.213221875405,0.000300252774629,2.47303598084,0.302559319508,0.00144626166944
4,9.550925926,389.4,0.522,B,BR06250,0.519,0.488,1.33,0.165323756972,0.000428283407021,0.995028174074,0.171150311402,0.00270116902879
5,5.253205128,404.98,0.652,R,BR06250,0.657,0.633,1.33,0.196890786709,0.000263605810892,2.22516137185,0.306321964221,0.00118576643865
6,19.10185185,389.4,0.522,B,BR12500,0.519,0.488,1.33,0.173759886824,0.000950334459708,1.11840002374,0.185059653949,0.0064387299726
7,10.50641026,404.98,0.652,R,BR12500,0.657,0.633,1.33,0.194629276767,0.000264675919922,2.23927987515,0.314329123003,0.00111690704398
