,C,C_stderr,D,F,F_stderr,a,chisq,color,file,fit,lambdaem,lambdaex,n,r0,redchi,tf,tf_stderr,w0,wxy,wz
29,2.41145748926,0.006986439759,389.4,0.499999999997,0.00151043944387,0.522,463.263529245,B,BR01562,fcs_ntr,0.519,0.488,1.33,0.176267559183,3.35698209598,3.87062360061e-08,1.17974859942e-07,0.165901612115,,
30,4.36429598922,0.0113828436099,389.4,,,,375.1962802,B,BR03125,fcs,,,,,2.67997343,,,,0.254486182412,3.23250115823
31,4.3710417697,0.0113470910325,389.4,0.111717961826,0.0126069768852,,263.531684748,B,BR03125,fcs_t,,,,,1.90964988948,4.20648933031e-06,8.46287104905e-07,,0.260501640661,3.18106604414
32,4.36797649171,0.0115950857109,389.4,,,0.522,388.64846376,B,BR03125,fcs_n,0.519,0.488,1.33,0.133555390348,2.77606045543,,,0.184568332185,,
33,4.37281447144,0.0121974375973,389.4,0.0592817020207,0.0296304459401,0.522,374.635476955,B,BR03125,fcs_nt,0.519,0.488,1.33,0.133613148657,2.71474983301,1.32973583112e-06,1.0067192649e-06,0.185827393671,,
34,4.37600834763,0.0148982768395,389.4,,,0.522,638.862824662,B,BR03125,fcs_nr,0.519,0.488,1.33,0.176219185474,4.56330589044,,,0.165661263507,,
35,4.53468483365,0.0429428478345,389.4,0.0589061641267,0.00932547464462,0.522,487.238900849,B,BR03125,fcs_ntr,0.519,0.488,1.33,0.176267559183,3.53071667282,9.99999999987e-05,4.80561036006e-07,0.165901612115,,
36,8.64840359525,0.0381449143556,389.4,,,,1099.75238845,B,BR06250,fcs,,,,,7.85537420324,,,,0.254486182412,3.23250115823
37,8.66297970617,0.0428457844435,389.4,0.103708118669,0.0221804599769,,931.929846915,B,BR06250,fcs_t,,,,,6.75311483271,4.58934386809e-06,1.76823562485e-06,,0.260501640661,3.18106604414
38,8.65640704809,0.0366762863274,389.4,,,0.522,1015.02865201,B,BR06250,fcs_n,0.519,0.488,1.33,0.133555390348,7.2502046572,,,0.184568332185,,
39,8.66406114209,0.0399379765915,389.4,0.0411406968179,0.0432820407105,0.522,1005.17129457,B,BR06250,fcs_nt,0.519,0.488,1.33,0.133613148657,7.28384996067,1.67049106501e-06,2.61505405113e-06,0.185827393671,,
40,8.66889470802,0.0380721922402,389.4,,,0.522,1090.40461658,B,BR06250,fcs_nr,0.519,0.488,1.33,0.176219185474,7.78860440413,,,0.165661263507,,
41,8.66873158323,0.0384434587647,389.4,0.323101467478,1.88296944345,0.522,1089.17523838,B,BR06250,fcs_ntr,0.519,0.488,1.33,0.176267559183,7.89257419113,5.62452742659e-08,2.16891919713e-07,0.165901612115,,
42,18.2975617575,0.17736971891,389.4,,,,4527.72490711,B,BR12500,fcs,,,,,32.3408921937,,,,0.254486182412,3.23250115823
43,18.2012866967,0.183811402922,389.4,0.0891965911736,0.0897002442752,,4165.56412972,B,BR12500,fcs_t,,,,,30.1852473168,1.65164186285e-06,2.6014014239e-06,,0.260501640661,3.18106604414
44,18.3269931794,0.17143112653,389.4,,,0.522,4219.56792322,B,BR12500,fcs_n,0.519,0.488,1.33,0.133555390348,30.1397708801,,,0.184568332185,,
45,18.3135464452,0.172835784088,389.4,0.0273227430356,2.14031440607,0.522,4188.70003409,B,BR12500,fcs_nt,0.519,0.488,1.33,0.133613148657,30.3528987978,1.03661783812e-07,4.7063571067e-06,0.185827393671,,
46,18.3581819654,0.163229776565,389.4,,,0.522,3816.81552026,B,BR12500,fcs_nr,0.519,0.488,1.33,0.176219185474,27.2629680018,,,0.165661263507,,
47,18.3556265048,0.0,389.4,0.00732255216986,0.0,0.522,3811.90511638,B,BR12500,fcs_ntr,0.519,0.488,1.33,0.176267559183,27.6225008434,3.01716515845e-09,0.0,0.165901612115,,
