delta_t,meanB,meanBR,meanR,stdB,stdBR,stdR
1.25e-08,1.314286823529412,1.0354724970588234,1.0618758823529413,0.0771098523377985,0.021280932370696736,0.00767999299082365
2.5e-08,1.4307382941176472,1.0386667941176468,1.0771363529411764,0.10410013948273686,0.02906408053641167,0.007742030999232647
3.75e-08,1.6612913529411764,1.0327269794117644,1.175414294117647,0.08658727189165931,0.02408449348224582,0.009286976192273108
5e-08,1.298575117647059,1.0265921205882353,1.096071823529412,0.06227718759742593,0.02326593973995892,0.009266307680391474
6.25e-08,1.2459941764705884,1.0294889058823529,1.064766294117647,0.06612337931494187,0.020051738253709078,0.007923579410733562
7.5e-08,1.2245414117647062,1.0211546911764704,1.0611408823529411,0.06303045887977615,0.01824491299177049,0.008110572438507458
8.75e-08,1.229134,1.0262733147058827,1.0624746470588236,0.06412001684616854,0.023189789259666096,0.006559736740961981
1e-07,1.2212748235294117,1.0318315000000005,1.0607780588235294,0.05914640123231139,0.026304694710282753,0.00986486427246657
1.125e-07,1.1876470000000001,1.0360007088235295,1.0606431764705881,0.057309846074290106,0.025594362358585327,0.010123746872258524
1.25e-07,1.1901172352941174,1.030238720588235,1.0668236470588235,0.06265062729842226,0.021169646532431884,0.009644292636770602
1.375e-07,1.2171335882352938,1.031629505882353,1.0647532352941178,0.06777511013644259,0.01906008007953274,0.010694762420865391
1.5e-07,1.213435294117647,1.0318943470588233,1.0610115294117648,0.06011638643377254,0.027564532000447024,0.007057378101030159
1.625e-07,1.1899547058823532,1.0291767117647057,1.0614501764705881,0.05427463459412013,0.022118606165967045,0.009758618973142457
1.75e-07,1.1987527647058827,1.033549841176471,1.0599792941176471,0.086062313148179,0.023410148435066242,0.006610118133363777
1.875e-07,1.1942414117647058,1.0284780852941175,1.0613314705882353,0.042181094309932145,0.027281402362718615,0.0086125887624054
2e-07,1.1786178235294122,1.0378107852941176,1.0600011764705881,0.0681606123136292,0.024802328357495386,0.00881347301001539
2.25e-07,1.1725111764705882,1.0281378382352941,1.0635461176470589,0.04298049498009024,0.01511021125067446,0.006694671409432792
2.5e-07,1.200235294117647,1.0296803911764707,1.063009294117647,0.05740100276718344,0.013121010595143319,0.0053391584131353125
2.75e-07,1.189621705882353,1.0331047617647058,1.0625438823529412,0.055414245198446,0.016208018630477043,0.006513009739629761
3e-07,1.1836182941176472,1.0325516294117647,1.0629801764705882,0.049001689438780305,0.015513245881096911,0.006095230162476585
3.25e-07,1.180060529411765,1.0349388823529413,1.0626450588235294,0.04398701084226308,0.014912314034666509,0.005505772077829797
3.5e-07,1.1776523529411762,1.0315213117647057,1.0619932352941177,0.04146232222851628,0.01701372705671659,0.007647583382461124
3.75e-07,1.1627347058823532,1.032568264705882,1.0613091176470586,0.044981698096218846,0.015473767844719783,0.006042895779171084
3.999999e-07,1.1850712352941177,1.0296156235294116,1.060029,0.061019832795700314,0.017692535845761748,0.005290052762997169
4.5e-07,1.1876674705882353,1.029506411764706,1.0612080588235298,0.02890355204329951,0.014513103627042468,0.005305796180988008
4.999999e-07,1.1671651764705882,1.0338267941176469,1.0624596470588235,0.027030683839873743,0.011187888879286366,0.0038960893657641917
5.499999e-07,1.1910371176470584,1.028598294117647,1.0608974117647056,0.03240014299329801,0.010445489562850198,0.006077735530885763
5.999999e-07,1.1782573529411762,1.0315658235294118,1.0610452941176467,0.037754035273131314,0.010673101124599028,0.0038257574992289637
6.499999e-07,1.1854212941176472,1.0298054117647062,1.0604902941176473,0.0349061807703495,0.01019975469750491,0.0039004027961632814
6.999999e-07,1.1827132941176473,1.0275133823529414,1.0629395294117647,0.03783884563088835,0.011633889908909659,0.0045972060327940795
7.499999e-07,1.1768060588235296,1.0303926470588234,1.0600518235294114,0.03519010916766005,0.010329928334932629,0.004771174639378286
7.999998e-07,1.1894682352941175,1.031198794117647,1.0627878235294117,0.028645234492339328,0.010869148664587595,0.004540559556542061
8.999999e-07,1.1781277647058823,1.0311541176470589,1.0611158235294118,0.028833990074072197,0.007452135792409599,0.00304757085977155
9.999999e-07,1.1606593529411764,1.0308929411764707,1.0611126470588235,0.024258139611372617,0.00798341270805462,0.0031627963788799355
1.1e-06,1.1715732941176473,1.0309758235294118,1.0619842352941178,0.02656247285565885,0.008005777422919571,0.003994334451362654
1.2e-06,1.1658465882352942,1.034324794117647,1.0609471176470586,0.02367601279045901,0.008358833526766788,0.0031897442619663804
1.3e-06,1.170193294117647,1.0309822058823528,1.0609803529411763,0.023167799547101412,0.008214977081989493,0.003489562772901611
1.4e-06,1.1690647058823531,1.0323318235294114,1.0602182352941176,0.01662093378761612,0.009387319007327323,0.003166711070410474
1.5e-06,1.1669511764705884,1.0298132058823528,1.0601910588235295,0.026288907386140876,0.008215861620274207,0.004177022109400686
1.6e-06,1.1824342352941177,1.0300421470588235,1.0622708235294116,0.0198717166064186,0.007841832101854015,0.004842079186796846
1.8e-06,1.1750829999999999,1.030748117647059,1.0606104117647057,0.020476020980074984,0.005023875875227081,0.002555931303937925
2e-06,1.1770825294117646,1.0299971470588236,1.0608701764705883,0.02194464677082304,0.004954435702018213,0.0029762936729566137
2.2e-06,1.174191294117647,1.030255205882353,1.0600596470588233,0.0176861322302655,0.006824013898938546,0.002262617353243201
2.4e-06,1.1744576470588235,1.0302089705882356,1.0614264117647056,0.018380304756294326,0.005598105286009968,0.00361212047969908
2.6e-06,1.1725846470588235,1.0307532352941178,1.0605002352941177,0.014905683684780333,0.007073482439858744,0.0031343940127223483
2.799999e-06,1.1736175294117648,1.028932794117647,1.0607524117647058,0.018492533943754157,0.006475630429356849,0.0021100851685856717
2.999999e-06,1.173127294117647,1.029385970588235,1.0596748235294118,0.016061709438598557,0.00561381861483888,0.003354862112276385
3.199999e-06,1.1801470588235294,1.030149264705882,1.0594912352941173,0.010218313850030063,0.004485355919439219,0.0029185580349652524
3.599999e-06,1.1726651176470586,1.0314464705882354,1.0598672352941176,0.016565667575484364,0.004051920308978395,0.0025551908304333694
4e-06,1.1743788235294117,1.0303818823529414,1.0596672352941177,0.011603992564606645,0.003619899777331412,0.0023732309455902953
4.399999e-06,1.171684882352941,1.0298336764705884,1.0594442941176472,0.011235117627502001,0.00441594943971876,0.0020020163296244494
4.799999e-06,1.1739817647058823,1.0303120000000003,1.0596016470588236,0.013682306524376275,0.004100217504991076,0.002411348339956076
5.199999e-06,1.1675907647058825,1.0313147352941177,1.0589395294117647,0.01601515058983912,0.004094627910329391,0.0022936115655970936
5.599999e-06,1.1709023529411764,1.0323168235294118,1.0590195294117648,0.012860453605307109,0.004854090455000699,0.0022903801153224207
5.999999e-06,1.1672269411764706,1.0311634705882355,1.0593249411764707,0.013882688549034057,0.005040423343770725,0.0025224902604741237
6.399999e-06,1.167671411764706,1.0304703235294117,1.058207411764706,0.012882089463596213,0.003957799007474219,0.002711217353207268
7.199999e-06,1.1649236470588238,1.0311155294117649,1.0587031176470587,0.011757292124920854,0.0022654480044573227,0.00230267833523723
7.999999e-06,1.1665877647058824,1.0305734705882355,1.058055705882353,0.014138080290392254,0.003191316999345455,0.0023749080171588796
8.799999e-06,1.1641164117647058,1.031313970588235,1.058044823529412,0.009736435687112254,0.00318921559123404,0.0019289351294338385
9.599999e-06,1.1667558235294118,1.0302125294117648,1.057772294117647,0.013481267640847146,0.0023732581381534167,0.0021770643419037746
1.04e-05,1.1654214705882353,1.0299239411764705,1.0575231176470588,0.011640740926073348,0.002736368793311735,0.002406981582625924
1.12e-05,1.1614441764705885,1.0302963823529414,1.0577319411764705,0.01064682306791308,0.0029926566204501134,0.002466966068833371
1.2e-05,1.161687588235294,1.0300322647058826,1.0574821176470586,0.011935325048230607,0.0029774749004604574,0.002236483949584131
