,C,D,F,F_stderr,a,color,dataset,lambdaem,lambdaex,n,r0,r0_stderr,tf,tf_stderr,v,w0,w0_stderr
0,2.58125,389.4,0.05925516056916538,0.016759902331677085,0.522,B,BR01562,0.519,0.488,1.33,0.11845361428405192,0.00027060279567875216,3.3080561976301874e-06,1.9044738479165062e-06,1.0902007198479542,0.20918820633914006,0.0032918227505071675
1,1.104339,404.98,0.04226998984033112,0.019001626034713316,0.652,R,BR01562,0.657,0.633,1.33,0.1581513258307689,0.0002915980140879473,1.1148282992921655e-06,7.919289373429028e-07,2.783229317423875,0.31494034668960713,0.0016005219764846463
2,5.1625,389.4,0.08889172266316589,0.02368380952248244,0.522,B,BR03125,0.519,0.488,1.33,0.10990397606598222,0.0004889871720159724,3.278775853856017e-06,1.8446182191041971e-06,0.9912382318962901,0.21468974564918422,0.005018903123745593
3,2.208678,404.98,0.03902467938215223,0.01425960456983767,0.652,R,BR03125,0.657,0.633,1.33,0.16362768571903452,0.000260302479405701,1.5469137747283642e-06,8.941965833635396e-07,2.960997714027562,0.31849090293417837,0.0014311777263107848
4,10.325,389.4,0.27032262650287214,0.075587580318328,0.522,B,BR06250,0.519,0.488,1.33,0.10426837734265877,0.00328455678491244,2.4366675869293488e-05,5.85179956106979e-06,1.294479553693894,0.2916744456761382,0.0320921490721801
5,4.417356,404.98,0.03431004934998649,0.01019716544523401,0.652,R,BR06250,0.657,0.633,1.33,0.1516941698700305,0.0002265461529725919,1.9541715354599173e-06,9.590133207355233e-07,2.6628406277391212,0.32032070393728135,0.0012362703104892357
6,20.65,389.4,0.49999907506877506,0.07591110972845728,0.522,B,BR12500,0.519,0.488,1.33,0.08379343299283654,0.010897648345117666,3.6959969579184264e-05,6.56335754463342e-06,2.1583357632374227,0.46709047859139946,0.0743716316692409
7,8.834712,404.98,0.03185865751984457,0.011694140794399078,0.652,R,BR12500,0.657,0.633,1.33,0.14993045153712886,0.00024910005942101367,1.5892697066192632e-06,9.445751364557394e-07,2.6755339183792097,0.3269193052877944,0.0012731390545113064
