3D,C_BR01562,C_BR03125,D,chisq,color,redchi,slope,slope_stderr,v,wxy,wxy_stderr,wz,wz_stderr,,,,
,1.7,3.4,389.4,124.2193745,B,0.445230733,1.179055419,0.12533244,1.33352276,0.253264636,0.001783636,3.733589101,0.415547655,,,,
N,C_BR01562,C_BR03125,D,a,chisq,color,lambdaem,lambdaex,n,r0,r0_stderr,redchi,slope,slope_stderr,v,w0,w0_stderr
0,1.7,3.4,389.4,0.522,121.154067,B,0.519,0.488,1.33,0.125326068,0.003013712,0.434243968,1.354639692,0.04416123,1.122602043,0.192380932,0.004023285
,C_BR01562,C_BR03125,D,a,chisq,color,lambdaem,lambdaex,n,r0,r0_stderr,redchi,slope,slope_stderr,v,w0,w0_stderr
0,1.7,3.4,389.4,0.522,124.2908387,B,0.519,0.488,1.33,0.154485017,0.002957702,0.445486877,0.978621895,0.027730801,0.97723295,0.182327472,0.003940581
