delta_t,meanB,meanBR,meanR,stdB,stdBR,stdR
4.48E-05,1.6693245,1.0343645,1.268602,0.01106593,0.003975159,0.001059291
4.80E-05,1.649362,1.031223,1.2691825,0.019165724,0.004138303,0.001182067
5.12E-05,1.656538,1.03550275,1.266889,0.0144932,0.003978446,0.001178872
5.76E-05,1.630241,1.032308,1.263252,0.006295713,0.001540337,0.001008953
6.40E-05,1.626562,1.03202225,1.2616225,0.00863807,0.002147589,0.001116229
7.04E-05,1.6084755,1.031967,1.255626,0.004979154,0.003087633,0.001100782
7.68E-05,1.5953425,1.031699,1.254305,0.010223463,0.003096396,0.00134008
8.32E-05,1.5756955,1.03322375,1.250838,0.013386431,0.002990384,0.00095356
8.96E-05,1.5764875,1.031948,1.247817,0.006340255,0.002114125,0.001244907
9.60E-05,1.5618905,1.031421,1.2447615,0.012856861,0.002050116,0.000962853
0.0001024,1.5477,1.0326085,1.2430555,0.008154761,0.003231771,0.000914819
0.0001152,1.5290655,1.03200525,1.2367415,0.004786949,0.002016452,0.000818261
0.000128,1.509171,1.03148225,1.231679,0.005828463,0.001836191,0.001013467
0.0001408,1.496824,1.029651,1.226146,0.007330061,0.001763574,0.000930959
0.0001536,1.4753705,1.029303,1.222103,0.007347453,0.001511905,0.000627655
0.0001664,1.4616985,1.0297025,1.217414,0.004917801,0.001690151,0.001049054
0.0001792,1.4407915,1.02963575,1.2136745,0.004780175,0.001970434,0.000631032
0.000192,1.438534,1.028474,1.2083475,0.007651383,0.002562947,0.000798036
0.0002048,1.415095,1.028291,1.203952,0.005114662,0.00156006,0.000700922
0.0002304,1.3918675,1.02748375,1.1972675,0.003181782,0.001408493,0.000878173
0.000256,1.370135,1.0259075,1.1900305,0.003241154,0.001287785,0.000516366
0.0002816,1.357278,1.02519075,1.1839465,0.003412822,0.001222766,0.000771905
0.0003072,1.3381815,1.0249745,1.1780965,0.003823994,0.001081139,0.000663333
0.0003328,1.3310695,1.024637,1.172563,0.006516484,0.001680136,0.000601053
0.0003584,1.312377,1.02336525,1.16712,0.004436549,0.00084506,0.000616277
0.000384,1.2927595,1.0224425,1.161871,0.004064239,0.00116346,0.000787331
0.0004096,1.282487,1.02220875,1.1570515,0.003827206,0.001491712,0.00063727
0.0004608,1.2647865,1.02142975,1.149069,0.002964297,0.000969773,0.000448097
0.000512,1.2550165,1.0208645,1.1414405,0.00116937,0.001248976,0.000724486
0.0005632,1.236671,1.0198545,1.134263,0.004001525,0.001232047,0.000478779
0.0006144,1.2192635,1.01896625,1.128096,0.002934003,0.000948067,0.000457105
0.0006656,1.209337,1.017676,1.1224535,0.002851251,0.000904496,0.000689608
0.0007168,1.198416,1.01750275,1.116917,0.003791917,0.000922206,0.000351513
0.000768,1.1860035,1.01622275,1.1123525,0.003502659,0.000998645,0.00045049
0.0008192,1.1819875,1.016428,1.1077715,0.002282427,0.000889014,0.000628817
0.0009216,1.1643195,1.0148495,1.1001765,0.003532757,0.000856463,0.000419202
0.001024,1.150682,1.0141645,1.0933025,0.00234432,0.000532043,0.000448537
0.0011264,1.139606,1.01392,1.0873905,0.002590409,0.000909224,0.000363631
0.0012288,1.1323105,1.01226025,1.0819765,0.001797715,0.001113993,0.000342149
0.0013312,1.1206735,1.012215,1.0772905,0.001517684,0.001064373,0.000327978
0.0014336,1.113202,1.01163025,1.0730595,0.002685422,0.000978398,0.000306882
0.001536,1.1091095,1.0110905,1.0691335,0.001804199,0.000976119,0.000322517
0.0016384,1.1022035,1.009894,1.0659065,0.002597166,0.000831115,0.000233009
0.0018432,1.0868135,1.00931325,1.0599925,0.001820454,0.00058804,0.00027862
0.002048,1.0790515,1.008469,1.054923,0.001807411,0.000712996,2.19E-04
0.0022528,1.075986,1.0080355,1.0507215,0.000984755,0.000658739,1.78E-04
0.0024576,1.070999,1.00765675,1.04694,0.001749642,0.000672051,1.76E-04
0.0026624,1.064504,1.007732,1.0434205,0.001301698,0.00056055,2.22E-04
0.002867199,1.0606085,1.007382,1.0405365,0.001810062,0.00070943,0.000281279
0.003071999,1.0578055,1.00618675,1.0383115,0.001484138,0.000593089,0.000271118
0.003276799,1.053456,1.00605425,1.036151,0.002087104,0.000591472,0.000353576
0.003686399,1.0483855,1.0058445,1.032383,0.001562691,0.000361352,2.20E-04
0.004096,1.041258,1.00531825,1.029177,0.001263671,0.00061512,0.000257595
0.004505599,1.035813,1.0047535,1.0264935,0.001127351,0.000723089,1.96E-04
0.004915199,1.0342725,1.00494425,1.0243295,0.001262731,0.000569375,0.000251276
0.005324799,1.035024,1.0040395,1.022601,0.001548934,0.000561343,1.96E-04
0.005734399,1.0319455,1.004523,1.020755,0.001552537,0.000486567,0.00037241
0.006143999,1.0290705,1.00438025,1.0195365,0.00160966,0.000684753,0.000436978
0.006553599,1.026564,1.003558,1.0182865,0.001255586,0.00066432,0.000474002
0.007372799,1.023672,1.002906675,1.016492,0.000918833,0.000726165,0.000350006
0.008191999,1.0214435,1.00279675,1.014828,0.000763907,0.000492476,0.000454593
