,fitB,fitBR,fitR,oligoB,oligoBR,oligoBR_std,oligoBR_stdfit,oligoB_std,oligoB_stdfit,oligoR,oligoR_std,oligoR_stdfit,t
33,1.77619198837,1.14493617883,1.30692054964,1.742954273,1.149071586,0.036564002,0.0393160524146,0.158552391,0.148476933167,1.318077273,0.006255199,0.0120065102309,1e-06
34,1.77575226542,1.14491988267,1.30684866484,1.790850182,1.157594515,0.041525898,0.0374782343619,0.109302709,0.142254979219,1.321389455,0.01130823,0.011380291059,1.1e-06
35,1.77531313161,1.1449035899,1.30677681717,1.720896091,1.143950454,0.025438449,0.0358963012723,0.132699667,0.13677736335,1.314820818,0.014912368,0.0108512869196,1.2e-06
36,1.77487458563,1.1448873005,1.3067050066,1.769739636,1.139718184,0.031870727,0.0345162153228,0.093098276,0.131904193753,1.316950091,0.010476083,0.0103974192493,1.3e-06
37,1.77443662619,1.14487101449,1.3066332331,1.753796455,1.150074769,0.039796567,0.0332985738542,0.170450476,0.127530121986,1.314053636,0.010121075,0.0100029243441,1.4e-06
38,1.77399925202,1.14485473185,1.30656149663,1.716849091,1.145672585,0.038942213,0.0322139022402,0.148514958,0.123574044972,1.316855364,0.009689394,0.009656231678,1.5e-06
39,1.77356246182,1.14483845258,1.30648979718,1.763914,1.15462591,0.043028012,0.0312396676316,0.134016184,0.119972338021,1.321152636,0.009877656,0.00934864659314,1.6e-06
40,1.77269062827,1.14480590419,1.30634650917,1.733312273,1.161243836,0.027786322,0.0295559572819,0.109395304,0.113638805911,1.316049455,0.007620422,0.00882559524733,1.8e-06
41,1.77182111537,1.14477336929,1.30620336884,1.748005455,1.138035259,0.035102757,0.0281456367478,0.112785974,0.108227058741,1.315541,0.009593618,0.00839581180279,2e-06
42,1.77095391301,1.14474084788,1.30606037592,1.689888182,1.153880159,0.02388861,0.0269416905418,0.142002758,0.103530537239,1.319102,0.011169455,0.00803493794956,2.2e-06
43,1.77008901116,1.14470833996,1.30591753019,1.708146818,1.146849832,0.026925588,0.0258980029,0.152848796,0.0994025829982,1.312546545,0.010536549,0.00772657867209,2.4e-06
44,1.76922639981,1.14467584551,1.3057748314,1.744001455,1.14333905,0.021869625,0.0249816809856,0.110044486,0.0957357243266,1.314658273,0.006435394,0.00745926578483,2.6e-06
45,1.76836606906,1.14464336454,1.30563227931,1.779530182,1.142691277,0.021885429,0.0241685584953,0.087624601,0.0924491151779,1.313011182,0.008943683,0.00722471887423,2.8e-06
46,1.76750800905,1.14461089703,1.30548987368,1.736364273,1.145680545,0.021075358,0.023440433681,0.133098878,0.0894805809619,1.313213818,0.008637186,0.00701679810764,3e-06
47,1.76665220996,1.14457844298,1.30534761427,1.710994091,1.151050643,0.027530859,0.0227833039769,0.099700252,0.0867813955442,1.321000727,0.008535237,0.00683084674969,3.2e-06
48,1.76494735566,1.14451357522,1.30506353315,1.771370273,1.154598939,0.017486515,0.0216403860664,0.037221547,0.0820432636959,1.312424091,0.003963326,0.00651121565177,3.6e-06
49,1.76325142891,1.14444876121,1.30478003404,1.733319545,1.150751166,0.018595212,0.0206757299089,0.062428403,0.0780035952337,1.311779182,0.00873759,0.00624511261491,4e-06
50,1.76156435342,1.14438400089,1.30449711504,1.756646091,1.144325128,0.017956495,0.0198467537589,0.083713312,0.0745048334934,1.310461545,0.0055487,0.00601905823273,4.4e-06
51,1.75988605377,1.14431929422,1.30421477425,1.745773818,1.140310195,0.023184006,0.0191239097221,0.077718184,0.0714352989082,1.305044636,0.003804218,0.00582386742635,4.8e-06
52,1.75821645545,1.14425464113,1.3039330098,1.707182545,1.14567737,0.017197478,0.0184859650815,0.053428817,0.0687132805214,1.311722636,0.006436154,0.00565304444782,5.2e-06
53,1.75655548486,1.14419004158,1.30365181981,1.695458,1.14493073,0.018788067,0.0179172156787,0.0585031,0.0662774015252,1.310478455,0.006942033,0.00550185256149,5.6e-06
54,1.75490306924,1.1441254955,1.3033712024,1.719120909,1.137346034,0.021029145,0.0174057615243,0.024523069,0.0640805258525,1.308203273,0.005546671,0.00536674780426,6e-06
55,1.75325913669,1.14406100286,1.30309115573,1.694807545,1.142703809,0.017224088,0.0169423972373,0.047909614,0.0620857617532,1.307553091,0.003872011,0.00524502000954,6.4e-06
56,1.74999643747,1.14393217763,1.3025327672,1.722285364,1.142827741,0.014948735,0.0161323948056,0.0420166,0.0585908281015,1.305865091,0.00426852,0.00503368650229,7.2e-06
57,1.74676682874,1.14380356545,1.3019766395,1.720065273,1.144882801,0.012994098,0.0154446121274,0.053332815,0.0556181049815,1.304338273,0.007049896,0.00485559351889,8e-06
58,1.74356976494,1.14367516591,1.30142275808,1.720738091,1.147033083,0.014357818,0.0148505052464,0.065980329,0.0530489022025,1.303706273,0.002895222,0.00470266186401,8.8e-06
59,1.74040471304,1.14354697857,1.30087110848,1.673749182,1.147147912,0.012514637,0.0143301230149,0.063517317,0.0507992599159,1.302814182,0.004652111,0.0045693241952,9.6e-06
60,1.73727115218,1.143419003,1.3003216764,1.699664818,1.138199288,0.01178457,0.0138690364797,0.054200091,0.0488078632091,1.298217273,0.005239306,0.0044516034656,1.04e-05
61,1.73416857328,1.14329123879,1.29977444765,1.684948364,1.140396316,0.013695275,0.0134565122552,0.072959806,0.0470287355414,1.299975545,0.004541309,0.00434657302512,1.12e-05
62,1.73109647876,1.14316368549,1.29922940818,1.693241636,1.148802382,0.011244805,0.0130843747926,0.051575514,0.0454266250516,1.298779273,0.00247665,0.00425202484541,1.2e-05
