,oligoB,oligoBR,oligoBR_std,oligoBR_stdfit,oligoB_std,oligoB_stdfit,oligoR,oligoR_std,oligoR_stdfit,t
99,1.322577,1.111727982,0.003261034,0.00354231848208,0.009054841,0.0083304940297,1.183281727,0.001637757,0.00167511651148,0.0003072
100,1.302653,1.110290681,0.004122755,0.00342574102239,0.007838996,0.0079916303416,1.176985,0.001642644,0.00163654699031,0.0003328
101,1.293019182,1.108206594,0.003358131,0.00332146958955,0.008943526,0.00769156471476,1.172173364,0.001364748,0.00160148161027,0.0003584
102,1.283243364,1.106732814,0.002807591,0.00322747530633,0.010222321,0.0074235183488,1.166663727,0.00197956,0.00156938840317,0.000384
103,1.270155818,1.102457408,0.003337362,0.00314216970079,0.006946628,0.00718225237078,1.161899273,0.002244562,0.00153984520558,0.0004096
104,1.252228364,1.098676926,0.002874052,0.00299281231045,0.005582375,0.00676441264759,1.153193727,0.001322011,0.00148710967388,0.0004608
105,1.234156273,1.094473368,0.002990519,0.00286588245228,0.009988805,0.00641389255774,1.145121182,0.001337451,0.00144121755652,0.000512
106,1.222123,1.089835982,0.003188392,0.00275626938798,0.007118403,0.0061145730054,1.138580818,0.001314119,0.00140073623979,0.0005632
107,1.208879545,1.087048499,0.00271002,0.00266035923343,0.005097024,0.0058552396174,1.132069,0.001436599,0.00136463033116,0.0006144
108,1.198101091,1.08507057,0.002902626,0.00257551415165,0.0042336,0.00562782239992,1.126220727,0.001074329,0.00133212859396,0.0006656
109,1.186041455,1.082480719,0.002835039,0.00249975732656,0.007327311,0.00542634935658,1.120720455,0.001106862,0.00130264203344,0.0007168
110,1.177186182,1.079451619,0.002765528,0.00243157399827,0.008883938,0.0052462956945,1.115935182,0.001240643,0.00127571128697,0.000768
111,1.169333909,1.076949009,0.002872071,0.00236978116443,0.007617374,0.00508416343002,1.111471455,0.001000189,0.0012509716157,0.0008192
112,1.153999455,1.071346575,0.002406963,0.00226179270159,0.003824082,0.00480321057062,1.103567545,0.000998565,0.00120694272931,0.0009216
113,1.140719727,1.067517598,0.002278081,0.00217022248852,0.003955767,0.00456735284857,1.096804455,0.000972083,0.00116877731221,0.001024
114,1.129880091,1.062676411,0.001691385,0.0020912961152,0.003063164,0.00436581422446,1.090295909,0.001332041,0.00113523780806,0.0011264
115,1.123254818,1.059948977,0.001989958,0.0020223525465,0.003488743,0.00419109365537,1.084987,0.001310526,0.00110543054643,0.0012288
