,fitB,fitBR,fitR,oligoB,oligoBR,oligoBR_std,oligoBR_stdfit,oligoB_std,oligoB_stdfit,oligoR,oligoR_std,oligoR_stdfit,t
60,1.66585466207,1.19029414847,1.28990660593,1.699664818,1.138199288,0.01178457,0.0135883517148,0.054200091,0.0545719516353,1.298217273,0.005239306,0.00438791065877,1.04e-05
61,1.66379492285,1.18991281379,1.28946975061,1.684948364,1.140396316,0.013695275,0.0132529337092,0.072959806,0.0522897638346,1.299975545,0.004541309,0.00428483099237,1.12e-05
62,1.66174783261,1.18953301178,1.28903420052,1.693241636,1.148802382,0.011244805,0.0129443161585,0.051575514,0.0502526237498,1.298779273,0.00247665,0.00419227210847,1.2e-05
63,1.6597132752,1.18915473322,1.28859994981,1.704312818,1.142920341,0.014769769,0.0126589737319,0.049829475,0.0484203662149,1.298346545,0.004725346,0.00410849430686,1.28e-05
64,1.6556813013,1.18840270993,1.28773532334,1.676257909,1.14430345,0.013984682,0.0121470225672,0.049398954,0.0452505439214,1.295995818,0.003994137,0.00396212148972,1.44e-05
65,1.65169809985,1.18765667158,1.28687582519,1.682316182,1.141943833,0.009889678,0.0116992078453,0.035525461,0.0425951915537,1.295635727,0.005503315,0.00383778761875,1.6e-05
66,1.64776279126,1.18691654702,1.28602140987,1.676113727,1.140549505,0.011342051,0.0113027609949,0.049662544,0.0403308220724,1.292784273,0.002224394,0.00373024028323,1.76e-05
67,1.64387451692,1.18618226619,1.28517203243,1.679128455,1.142138431,0.014916594,0.0109482667806,0.026915328,0.038371559992,1.293486364,0.003303967,0.00363584127715,1.92e-05
68,1.64003243865,1.18545376016,1.28432764843,1.664564273,1.141262611,0.00843845,0.0106285991692,0.025044356,0.0366556367781,1.292606091,0.004752327,0.00355197904827,2.08e-05
69,1.63623573808,1.18473096106,1.28348821399,1.659320909,1.142491893,0.011796194,0.0103382453252,0.046700984,0.0351373642621,1.289866182,0.004065443,0.00347672304126,2.24e-05
70,1.63248361601,1.18401380209,1.28265368571,1.634178636,1.139005882,0.010693606,0.0100728601111,0.035286276,0.0337821432444,1.288618091,0.004504695,0.00340861046298,2.4e-05
