G,C_BR01562,C_BR03125,D,F,F_stderr,chisq,color,redchi,slope,slope_stderr,tf,tf_stderr,v,wxy,wxy_stderr,wz,wz_stderr,,,,
0,1.7,3.4,389.4,0.096215493,0.020948714,116.0190888,B,0.418841476,1.319741971,0.122118179,4.05E-06,1.84E-06,1.229972423,0.260078613,0.002973963,3.265587205,0.325957152,,,,
N,C_BR01562,C_BR03125,D,F,F_stderr,a,chisq,color,lambdaem,lambdaex,n,r0,r0_stderr,redchi,slope,slope_stderr,tf,tf_stderr,v,w0,w0_stderr
0,1.7,3.4,389.4,0.056058959,0.034215161,0.522,119.7921094,B,0.519,0.488,1.33,0.123760457,0.003362487,0.432462489,1.377919197,0.049406695,1.69E-06,1.93E-06,1.119086805,0.197314942,0.005965124
NR,C_BR01562,C_BR03125,D,F,F_stderr,a,chisq,color,lambdaem,lambdaex,n,r0,r0_stderr,redchi,slope,slope_stderr,tf,tf_stderr,v,w0,w0_stderr
0,1.7,3.4,389.4,0.050459305,0.045606664,0.522,123.5080371,B,0.519,0.488,1.33,0.153759972,0.003131352,0.44587739,0.986743951,0.029643983,1.06E-06,1.64E-06,0.977932016,0.185356195,0.005370631
