,C,C_stderr,D,F,F_stderr,a,chisq,fit,lambdaem,lambdaex,n,r0,r0_stderr,tf,tf_stderr,v,w0,w0_stderr,wxy,wxy_stderr,wz,wz_stderr
0,12.0332771082,0.257036051206,404.98,,,,315.775237415,fcs,,,,,,,,1.9802804501,,,0.377928731603,0.000996254576534,2.48990095135,0.0604821493473
1,12.0332790629,0.0,404.98,0.02,0.0,,315.775237414,fcs_t,,,,,,1e-09,0.0,1.9802804501,,,0.377928750247,0.0,2.48990042362,0.0
2,9.31345547032,0.113066372683,404.98,,,0.652,217.592704175,fcs_n,0.657,0.633,1.33,0.142729259518,0.00170578647892,,,2.53908320711,0.332322919176,0.00188206065855,,,,
3,9.76391041174,0.157780323455,404.98,0.035771631924,0.00794102473621,0.652,174.164250092,fcs_nt,0.657,0.633,1.33,0.134998601177,0.00252534915453,1.68575268664e-05,5.26369527653e-06,2.48330965414,0.348180867775,0.00505993022612,,,,
4,6.36916536152,0.06840901396,404.98,,,0.652,207.695984856,fcs_nr,0.657,0.633,1.33,0.18837957506,0.00189766787565,,,2.34710018595,0.319881586035,0.0019954653134,,,,
5,6.4584030596,0.07067956184,404.98,0.031244610577,0.00787372617462,0.652,177.38612394,fcs_ntr,0.657,0.633,1.33,0.185597055791,0.00198542200223,2.33413553974e-06,1.03276150701e-06,2.32831701827,0.32449943853,0.00236966680486,,,,
