,data_BR01562_B,data_BR01562_R,data_BR03125_B,data_BR03125_R,data_BR06250_B,data_BR06250_R,data_BR12500_B,data_BR12500_R,fitdata_fcs_BR01562_B,fitdata_fcs_BR01562_R,fitdata_fcs_BR03125_B,fitdata_fcs_BR03125_R,fitdata_fcs_BR06250_B,fitdata_fcs_BR06250_R,fitdata_fcs_BR12500_B,fitdata_fcs_BR12500_R,fitdata_fcst_BR01562_B,fitdata_fcst_BR01562_R,fitdata_fcst_BR03125_B,fitdata_fcst_BR03125_R,fitdata_fcst_BR06250_B,fitdata_fcst_BR06250_R,fitdata_fcst_BR12500_B,fitdata_fcst_BR12500_R,fitdata_n_BR01562_B,fitdata_n_BR01562_R,fitdata_n_BR03125_B,fitdata_n_BR03125_R,fitdata_n_BR06250_B,fitdata_n_BR06250_R,fitdata_n_BR12500_B,fitdata_n_BR12500_R,fitdata_nr_BR01562_B,fitdata_nr_BR01562_R,fitdata_nr_BR03125_B,fitdata_nr_BR03125_R,fitdata_nr_BR06250_B,fitdata_nr_BR06250_R,fitdata_nr_BR12500_B,fitdata_nr_BR12500_R,fitdata_nt_BR01562_B,fitdata_nt_BR01562_R,fitdata_nt_BR03125_B,fitdata_nt_BR03125_R,fitdata_nt_BR06250_B,fitdata_nt_BR06250_R,fitdata_nt_BR12500_B,fitdata_nt_BR12500_R,fitdata_ntr_BR01562_B,fitdata_ntr_BR01562_R,fitdata_ntr_BR03125_B,fitdata_ntr_BR03125_R,fitdata_ntr_BR06250_B,fitdata_ntr_BR06250_R,fitdata_ntr_BR12500_B,fitdata_ntr_BR12500_R,fitstd_BR01562_B,fitstd_BR01562_R,fitstd_BR03125_B,fitstd_BR03125_R,fitstd_BR06250_B,fitstd_BR06250_R,fitstd_BR12500_B,fitstd_BR12500_R,std_BR01562_B,std_BR01562_R,std_BR03125_B,std_BR03125_R,std_BR06250_B,std_BR06250_R,std_BR12500_B,std_BR12500_R,tB,tR
7,1.7137382,1.5217722,1.35568335,1.2483413,1.18595525,1.1457765,1.0928829,1.07297535,1.59297922217,1.52994705314,1.32642483568,1.25224981162,1.1647445252,1.13881883557,1.07788154954,1.06976356263,1.62461056402,1.54642572279,1.35423845641,1.26114250379,1.17716587957,1.14309939332,1.08268895065,1.0711369182,1.61274529473,1.5344626292,1.33733486789,1.25442772503,1.17018135718,1.14000755738,1.0803774112,1.07035990454,1.6168204784,1.53587816599,1.33957660542,1.25510732958,1.17129663001,1.14037826524,1.08088323379,1.0705457718,1.63686802882,1.5530454869,1.35729799796,1.26308862467,1.17768611556,1.14385584633,1.08146030622,1.0717927325,1.68541729912,1.55614449128,1.34002776011,1.26337996775,1.17763556701,1.14419946816,1.08181760516,1.07210106574,0.0636465734307,0.0329959747083,0.0320534733722,0.0146269529251,0.0183076086468,0.00765351491694,0.00947335823905,0.00328178050905,0.0525802708965,0.0236366378535,0.0221126678605,0.0114392249061,0.0173996121278,0.00821946187904,0.00856715680953,0.00276402017389,1e-07,1e-07
8,1.69938225,1.5596751,1.3245958,1.2405571,1.1884282,1.14902585,1.0738933,1.0726429,1.59279211086,1.52986772978,1.32632183413,1.25221205445,1.16469254097,1.13879805694,1.07785697445,1.06975312031,1.62425252786,1.54631706686,1.35401074905,1.26106658775,1.17706131136,1.1430722477,1.08260941007,1.0711235632,1.61250993484,1.53437795844,1.33720529514,1.25438741802,1.17011598929,1.13998537707,1.08034653766,1.07034875796,1.61657128948,1.53579147317,1.33943942008,1.25506605905,1.171227428,1.14035555525,1.08085055782,1.07053435911,1.63588614202,1.55289470343,1.35700325549,1.26297772445,1.17756769869,1.14382540907,1.08139932121,1.0717739367,1.66746589349,1.55595921724,1.33989295226,1.26325766381,1.17751541977,1.1441669853,1.08167236321,1.07207705093,0.0604729983691,0.0311821587962,0.0307871827204,0.0139205567301,0.0172022095465,0.00723781379277,0.0088108764806,0.00313756131067,0.0459304012818,0.026904309755,0.0306458272689,0.0159616549493,0.0169554364543,0.00505776909012,0.00627945914046,0.00221175140906,1.13e-07,1.13e-07
9,1.6120764,1.53548965,1.29321685,1.27621605,1.1922826,1.1474711,1.0693474,1.07158535,1.59261949726,1.52979452906,1.32622681333,1.25217721159,1.16464458458,1.13877888212,1.07783430348,1.06974348398,1.62392275083,1.54621682501,1.35380101961,1.26099662837,1.17696497432,1.14304720211,1.082536418,1.07111124201,1.61229286491,1.5342998257,1.33708579155,1.2543502234,1.17005570118,1.13996490946,1.08031806332,1.0703384721,1.61634147665,1.5357114788,1.33931290181,1.25502797736,1.17116360689,1.14033459999,1.08082042262,1.07052382824,1.63499606339,1.5527557129,1.35673233112,1.26287577212,1.17745872048,1.14379733232,1.08134348227,1.07175661617,1.65471296653,1.55578860561,1.33976862851,1.26314536487,1.17740488809,1.14413703348,1.08154573123,1.07205495889,0.0579355946656,0.0297509360054,0.0297392731119,0.0133504123361,0.016338427641,0.00690906241154,0.00830643047943,0.0030206184505,0.0520881617518,0.023860296528,0.0286415597131,0.0118102053541,0.0126162260199,0.00761094504785,0.00875414732332,0.00383707274838,1.25e-07,1.25e-07
10,1.667699,1.55802095,1.35152,1.26573745,1.1581938,1.1445133,1.077168,1.06797175,1.59243261234,1.52971525084,1.3261239364,1.25213947591,1.16459266325,1.13875811531,1.07780975812,1.0697330476,1.62356626747,1.54610829022,1.3535743116,1.2609209654,1.17686081169,1.14302008231,1.08245780545,1.07109790109,1.61205790632,1.53421520885,1.33695643973,1.25430994206,1.16999044475,1.13994274327,1.08028724241,1.07032733262,1.6160927668,1.53562484779,1.3391759802,1.25498673625,1.17109453792,1.14031190619,1.08078780948,1.07051242369,1.63404903905,1.55260534972,1.35644006295,1.26276577289,1.17734101614,1.14376693661,1.08128347582,1.07173788405,1.64405758784,1.5556041769,1.3396340668,1.26302432949,1.17728554706,1.14410460962,1.08141602939,1.07203110164,0.0555218671915,0.0284045132174,0.0287140005933,0.0128039863521,0.0155326191444,0.00659921415948,0.00784589725041,0.0029080568609,0.0673578965468,0.035904790153,0.0281982746654,0.0100585459504,0.0181375832077,0.00627315901893,0.00685121456689,0.00345179354012,1.38e-07,1.38e-07
11,1.57165975,1.55506765,1.31220055,1.27036065,1.1764221,1.14126655,1.08569025,1.07431425,1.59226020754,1.52964209177,1.32602903053,1.25210465287,1.16454476487,1.1387389514,1.07778711457,1.06972341675,1.62323791903,1.5460081601,1.35336550177,1.26085123899,1.17676484797,1.14299506054,1.08238566337,1.07108559287,1.61184120631,1.53413712586,1.3368371398,1.25427277112,1.16993025938,1.13992228869,1.0802588166,1.0703170533,1.61586339499,1.53554490917,1.33904970473,1.2549486811,1.17103083929,1.14029096552,1.08075773211,1.07050190015,1.63319040731,1.55246674621,1.35617140831,1.2626646473,1.17723269244,1.14373889818,1.08122852736,1.07172062212,1.63646692867,1.55543431597,1.33950996929,1.26291318023,1.17717575499,1.14407470522,1.08130273228,1.07200915076,0.0535446078883,0.0273121125688,0.0278539794215,0.0123536266829,0.014883671585,0.00634742437335,0.00748182006002,0.00281490879709,0.0623003808032,0.0297547418815,0.0307856477051,0.0137497499224,0.012560374632,0.00631712637636,0.00603709396845,0.00313434187624,1.5e-07,1.5e-07
12,1.5491016,1.53674405,1.3225135,1.276869,1.19650339,1.13719305,1.09091415,1.07013035,1.5920735486,1.52956285864,1.325926278,1.25206693865,1.16449290633,1.1387181964,1.07776259889,1.0697129863,1.62288297818,1.54589974623,1.35313978691,1.26077582771,1.17666108863,1.14296796652,1.08230796447,1.071072266,1.61160664791,1.53405256288,1.33670800829,1.25423251542,1.1698651141,1.13990013661,1.08022804819,1.07030592092,1.61561514397,1.53545833981,1.33891303573,1.25490746935,1.17096189773,1.14026828787,1.08072517913,1.07049050372,1.632276674,1.55231680129,1.3558815837,1.26255553839,1.17711569369,1.14370854392,1.08116947192,1.07170195328,1.63010225755,1.55525071266,1.33937565215,1.26279338829,1.17705721053,1.14404233656,1.08118646089,1.07198544755,0.0516255190165,0.0262606517227,0.0270023273655,0.0119143261416,0.0142631296356,0.00610474256441,0.00713916550184,0.00272370429229,0.0488697739065,0.031007727492,0.031166151343,0.0119733459669,0.0166487955083,0.00662990152767,0.00827567573357,0.00328766615057,1.63e-07,1.63e-07
13,1.68046545,1.59977325,1.33960425,1.25276825,1.19035675,1.1510284,1.08149075,1.0700378,1.5919013522,1.52948974118,1.32583148685,1.25203213543,1.16444506584,1.13869904339,1.07773998272,1.06970336094,1.62255604886,1.54579972762,1.35293189098,1.260706333,1.17656549613,1.14294296854,1.08223665921,1.07105997074,1.61139031679,1.53397452959,1.33658891144,1.25419536814,1.16980503118,1.13987969505,1.08019967076,1.07029564814,1.61538620345,1.53537845725,1.33878699768,1.25486944088,1.17089831888,1.1402473619,1.08069515832,1.07047998756,1.63144807199,1.55217858295,1.35561517059,1.26245522975,1.17700801812,1.14368054371,1.08111538887,1.07168474957,1.62554750823,1.55508161331,1.33925178045,1.26268337951,1.17694814978,1.14401248366,1.08108468908,1.0719636384,0.0500263033446,0.0253908874373,0.0262801709854,0.0115467144963,0.0137528451938,0.00590376011696,0.00686128518728,0.00264711077033,0.0444628153081,0.0303984005334,0.0335664822158,0.013333928038,0.0138908719737,0.00718547117604,0.00905919730698,0.00314684216706,1.75e-07,1.75e-07
14,1.654833415,1.5650299,1.3558452,1.24329765,1.17232385,1.1426598,1.06666225,1.07113615,1.59171491884,1.52941055311,1.3257288585,1.25199444265,1.16439326997,1.13867830019,1.07771549667,1.06969293642,1.62220264028,1.54569143445,1.35270716312,1.26063117206,1.17646213781,1.14291590026,1.08215985981,1.07104665788,1.61115615748,1.53389002043,1.33645999964,1.25415513806,1.16973999673,1.13985755708,1.0801689547,1.07028452284,1.61513841787,1.53529194832,1.33865058492,1.25482825789,1.17082950658,1.14022470008,1.08066266638,1.07046859908,1.63056612978,1.55202905428,1.35532775916,1.26234700061,1.17689171809,1.14365023081,1.08105725769,1.07166614359,1.62170620812,1.55489883121,1.33911769648,1.26256481359,1.17683038726,1.14398017048,1.08098002352,1.07194008778,0.048451268176,0.024539847182,0.0255581060603,0.0111833946802,0.0132561952942,0.00570690219658,0.00659409728301,0.00257115729626,0.0755994545788,0.0289908046859,0.035608426399,0.0116101550853,0.0146390513747,0.00688430524246,0.00867266545344,0.00191502093992,1.88e-07,1.88e-07
15,1.58659565,1.570479,1.36526793,1.2668881,1.1929237,1.14319545,1.0948895,1.07588095,1.59154293048,1.52933747722,1.32563418188,1.25195965922,1.16434548728,1.13865915807,1.07769290781,1.06968331653,1.62187712069,1.54559152715,1.35250017543,1.26056190779,1.17636691445,1.14289092602,1.0820893784,1.07103437555,1.61094019423,1.53381203679,1.33634110532,1.25411801442,1.16968001599,1.13983712852,1.08014062553,1.0702742566,1.61490990655,1.53521212185,1.33852478317,1.25479025612,1.17076604692,1.14020378879,1.08063270185,1.07045809031,1.62976620483,1.55189121924,1.35506355975,1.26224749924,1.17678468435,1.14362226873,1.08100401574,1.07164899773,1.61893695569,1.55473048377,1.33899406138,1.26245592659,1.17672205549,1.14395036784,1.08088821662,1.07191841827,0.0471219135253,0.0238257591133,0.0249404804544,0.0108758358643,0.0128414883244,0.00554157300688,0.00637339023358,0.00250665606018,0.072840499546,0.0268596798507,0.0328538976629,0.0148878304841,0.0150188211351,0.00709079762312,0.00702988444814,0.00312989411343,2e-07,2e-07
16,1.6848702,1.5805269,1.36374615,1.2894718,1.15400235,1.1530913,1.0812581,1.06795285,1.59118494157,1.52918529982,1.32543711516,1.25188722421,1.16424602897,1.13861929543,1.07764588976,1.06966328351,1.62120111502,1.54538355824,1.35207034338,1.26041796074,1.17616909861,1.14283893291,1.08194379428,1.07100880725,1.6104908365,1.53364964734,1.33609372026,1.2540407099,1.16955521322,1.13979458906,1.08008168063,1.07025287867,1.61443433269,1.53504590206,1.3382629667,1.25471112641,1.17063397575,1.14016024597,1.08057034018,1.07043620828,1.62814208305,1.55160465126,1.35451651838,1.26204143581,1.17656267809,1.14356407304,1.0808943584,1.07161336584,1.61486063753,1.55438091513,1.33873680918,1.2622307866,1.17649745417,1.14388835717,1.08071039053,1.07187348707,0.0446695132568,0.0225182185914,0.0237819112258,0.0103064571778,0.0120869079712,0.00523850139574,0.00597719085917,0.00238672790698,0.0339571418508,0.0231138554463,0.0177437172748,0.00850663539365,0.0103285808984,0.00368235920502,0.00656948498338,0.00155695937468,2.25e-07,2.25e-07
17,1.621867,1.5756809,1.3500676,1.2657994,1.16188245,1.14886625,1.0852588,1.0704635,1.5908273847,1.52903320891,1.32524028627,1.25181483036,1.16414669069,1.13857945544,1.07759892844,1.06964326188,1.62052801253,1.54517582047,1.35164238316,1.26027448927,1.17597204431,1.14278698914,1.08179988058,1.07098326581,1.61004224149,1.53348736115,1.3358467551,1.25396345453,1.16943062229,1.13975207666,1.08002283578,1.07023151433,1.61395998563,1.53487979774,1.33800182563,1.25463205166,1.17050224528,1.1401167334,1.08050813939,1.07041434145,1.62657310778,1.55131887516,1.35397398982,1.2618370197,1.17634198645,1.14350595644,1.08078636875,1.07157785311,1.61227495707,1.55403289558,1.33848002306,1.26200792536,1.17627432918,1.14382645116,1.08054868524,1.07182884156,0.0425616959419,0.0214042470115,0.022766864964,0.0098152457682,0.0114489034239,0.00497996093681,0.00564738567317,0.00228269612567,0.0329841783623,0.0198740071622,0.0204820088033,0.0117820219533,0.0121756202289,0.00652938468191,0.00592074933912,0.00253562237689,2.5e-07,2.5e-07
18,1.629886,1.5351684,1.3603978,1.27031,1.17210695,1.14506775,1.08224135,1.0704051,1.59047025909,1.5288812044,1.32504369478,1.25174247765,1.16404747222,1.13853963809,1.07755202377,1.06962325162,1.61985779401,1.5449683134,1.35121628319,1.26013149078,1.17577574727,1.14273509462,1.08165761146,1.07095775116,1.60959440709,1.53332517812,1.33560020869,1.25388624827,1.16930624261,1.13970959127,1.0799640907,1.07021016357,1.6134863549,1.53471380833,1.33774107891,1.25455303162,1.17037071374,1.14007325093,1.08044603253,1.07039248974,1.62505679842,1.55103388715,1.35343591814,1.26163423143,1.17612259667,1.14344791874,1.08068000009,1.0715424588,1.61056620459,1.55368641461,1.33822369844,1.26178730977,1.17605266215,1.14376464966,1.08040091836,1.07178447872,0.0407239317959,0.0204401635042,0.0218678514593,0.00938577868303,0.0109003549522,0.00475597146704,0.00536741905361,0.00219128550778,0.0337054218648,0.0171126114613,0.021622401683,0.0116653416902,0.0104750473759,0.00388781807507,0.00575637732373,0.0020400710291,2.75e-07,2.75e-07
19,1.61590885,1.55710115,1.36030885,1.25002775,1.17198455,1.1354165,1.0756321,1.07177975,1.59011356396,1.52872928624,1.32484734026,1.25167016603,1.16394837335,1.13849984336,1.07750517564,1.06960325274,1.61919044038,1.54476103661,1.35079203195,1.25998896271,1.17558020325,1.1426832493,1.0815169615,1.07093226326,1.60914733122,1.53316309814,1.33535407986,1.25380909107,1.16918207359,1.13966713289,1.07990544513,1.07018882638,1.6130136065,1.5345479331,1.33748081794,1.25447406594,1.17023942723,1.14002979838,1.08038404136,1.07037065307,1.62359078724,1.55074968345,1.35290224817,1.26143305174,1.17590449615,1.14338995976,1.08057520709,1.07150718215,1.60937348892,1.55334145975,1.33796783822,1.26156890623,1.17583243876,1.14370295195,1.08026520644,1.07174039529,0.0391026097632,0.0195949896573,0.0210642479065,0.00900610815257,0.0104222169654,0.00455943781619,0.00512595900213,0.00211010223709,0.0390280194422,0.0191250634732,0.0197575630278,0.00723060218325,0.0098120612704,0.00399438639159,0.00514109795215,0.00185409077082,3e-07,3e-07
20,1.62048555,1.5810271,1.36128615,1.2640642,1.1895587,1.14105305,1.07575745,1.0727589,1.58975729852,1.52857745434,1.32465122228,1.25159789547,1.16384939386,1.13846007122,1.07745838394,1.0695832652,1.61852593272,1.54455398967,1.35036961803,1.25984690252,1.17538540802,1.14263145308,1.08137790566,1.07090680206,1.60870101178,1.53300112111,1.33510836747,1.25373198288,1.16905811467,1.13962470147,1.07984689877,1.07016750274,1.61254173809,1.53438217248,1.33722104142,1.25439515481,1.1701083851,1.13998637584,1.08032216559,1.07034883148,1.62217281424,1.55046626029,1.35237292546,1.2612334616,1.17568767239,1.14333207929,1.08047194576,1.07147202238,1.60848381026,1.55299802233,1.3377120156,1.26135268344,1.17561342147,1.14364135831,1.08013982074,1.07169658851,0.0376580151978,0.0188460537491,0.020340239345,0.00866730191488,0.0100006700979,0.00438515661179,0.00491496148799,0.00203734887079,0.0459376298188,0.0148852326204,0.0195348859872,0.011473695012,0.0094322975474,0.00503949929671,0.00564223030201,0.00223869804065,3.25e-07,3.25e-07
21,1.5479439,1.56578565,1.40771555,1.24774635,1.1668288,1.13850145,1.0774585,1.07495895,1.589401462,1.52842570862,1.32445534041,1.25152566594,1.16375053354,1.13842032166,1.07741164858,1.06956328901,1.61786425225,1.54434717214,1.34994903005,1.25970530767,1.17519135739,1.1425797059,1.08124041932,1.07088136751,1.60825544669,1.53283924694,1.33486307038,1.25365492365,1.16893436526,1.13958229699,1.07978845138,1.07014619264,1.61207074589,1.53421652737,1.33696174729,1.25431629867,1.16997758631,1.13994298357,1.08026040472,1.07032702511,1.62080072225,1.55018361392,1.35184789627,1.26103544222,1.17547211304,1.14327427714,1.08037017339,1.07143697877,1.60777464802,1.55265608735,1.33745749882,1.2611386075,1.17539625439,1.14357986732,1.08002365651,1.07165305486,0.0363599979401,0.0181763244899,0.0196834657064,0.008362527532,0.00962541185272,0.00422921206967,0.00472854235623,0.0019716448844,0.0423675426925,0.0202303809433,0.0208851246786,0.0109395538267,0.0112955065562,0.00347928174737,0.0064945295251,0.00258850873866,3.5e-07,3.5e-07
22,1.58842655,1.58233175,1.3508193,1.26348305,1.16313245,1.14325715,1.08101095,1.07094665,1.58904605363,1.52827404903,1.32425969423,1.2514534774,1.16365179216,1.13838059465,1.07736496945,1.06954332416,1.6172053803,1.54414058361,1.34953025675,1.25956417564,1.17499804719,1.14252800767,1.08110447824,1.07085595956,1.60781063389,1.5326774755,1.33461818744,1.25357791333,1.16881082478,1.13953991943,1.07973010266,1.07012489607,1.61160062765,1.53405099298,1.33670293429,1.25423749524,1.16984703021,1.13989962029,1.08019875844,1.0703052333,1.61947245226,1.54990174062,1.35132710756,1.26083897503,1.1752578059,1.14321655313,1.08026984854,1.07140205057,1.60717031615,1.55231564991,1.33720301582,1.26092664976,1.17518026083,1.14351848021,1.07991519767,1.07160979211,0.0351851890837,0.0175727227766,0.0190841066395,0.00808645586899,0.00928858425704,0.00408859243858,0.00456228749733,0.00191190935155,0.0303065806505,0.0234290417497,0.0215143016599,0.00996695794773,0.0115863141285,0.0050168085733,0.00529483232135,0.00196793860664,3.75e-07,3.75e-07
23,1.6133351,1.5446452,1.3813282,1.26494575,1.18078125,1.15174215,1.07877445,1.07197315,1.58869107264,1.52812247547,1.32406428332,1.25138132982,1.16355316953,1.13834089019,1.07731834645,1.06952337064,1.61654929836,1.54393422364,1.34911328692,1.25942350392,1.17480547328,1.14247635834,1.08097005857,1.07083057816,1.6073665713,1.53251580672,1.33437371752,1.25350095188,1.16868749266,1.13949756875,1.07967185235,1.07010361301,1.61113137988,1.53388557086,1.33644460051,1.25415874526,1.16971671586,1.13985628643,1.08013722631,1.07028345628,1.61818603893,1.54962063669,1.35081050703,1.2606440417,1.17504473886,1.14315890707,1.08017093095,1.07136723704,1.60662841745,1.55197668956,1.33694899028,1.26071677464,1.17496564611,1.1434571941,1.07981349596,1.07156679607,0.0341151505149,0.0170250134852,0.0185342462748,0.007834859862,0.00898407576147,0.00396093766478,0.00441281373777,0.00185728176309,0.0480076353135,0.0220151748495,0.0254012355937,0.00758141240364,0.00850651352794,0.00473117973445,0.00401569947352,0.00296034604789,4e-07,4e-07
24,1.6166977,1.52131405,1.35096955,1.2551111,1.18786275,1.15015855,1.0822609,1.07141925,1.58798238971,1.52781958621,1.32367416558,1.25123715737,1.1633562796,1.1382615488,1.07722526844,1.06948349754,1.61524543109,1.54352218769,1.34828471322,1.25914353147,1.17442251787,1.14237320602,1.0807056899,1.07077989481,1.60648068855,1.53219277668,1.3338860122,1.25334717537,1.16844145123,1.13941294797,1.07955564589,1.07006108737,1.61019548552,1.53355507288,1.33592936498,1.25400141014,1.16945680952,1.13976970942,1.08001450315,1.07023994782,1.6157313638,1.5490607222,1.34978966455,1.26025870432,1.17462227742,1.14304384801,1.07997716253,1.07129795106,1.60564083073,1.55130317817,1.33644230114,1.26030316033,1.17454048876,1.14333492895,1.07962686125,1.07148159516,0.0322330626061,0.0160662796388,0.0175582982675,0.00739211356463,0.00845363319557,0.00373736614223,0.00415418943404,0.00176069686042,0.0272863647769,0.0139718549768,0.0182474969055,0.00702193656812,0.00781116190373,0.00255919187502,0.00379084137213,0.00183348361555,4.5e-07,4.5e-07
25,1.61323005,1.54446315,1.3659347,1.248264,1.17083495,1.1475995,1.0803164,1.06909625,1.58727540705,1.52751704024,1.32328498382,1.25109314834,1.16315986206,1.13818229734,1.07713241375,1.06944366962,1.61395250493,1.54311106091,1.34746322082,1.25886537056,1.17404245851,1.14227024834,1.08044712996,1.07072931706,1.60559778211,1.53187015601,1.33339994543,1.25319359373,1.16819623643,1.13932843442,1.07943982985,1.07001861563,1.609263035,1.53322501854,1.33541602537,1.25384428622,1.16919785958,1.13968324861,1.07989223157,1.07019649776,1.61342269029,1.5485038412,1.34878496382,1.25987928774,1.17420463458,1.14292909846,1.07978856923,1.07122911504,1.60471021937,1.55063546991,1.33593742302,1.25989752626,1.1741206618,1.14321306949,1.07945788549,1.07139742939,0.0306251794322,0.015251740059,0.0167160535418,0.00701379439552,0.00800554564514,0.00354731252271,0.00393730656225,0.00167768563522,0.0272148345275,0.0178163778565,0.0124392038971,0.00551798586812,0.00819098846023,0.00338689882249,0.00309175506718,0.00123849499562,5e-07,5e-07
26,1.6509624,1.55556975,1.32895435,1.25562935,1.17147985,1.15270085,1.07841615,1.07032505,1.58657011857,1.52721483698,1.32289673468,1.25094930243,1.1629639152,1.13810313565,1.07703978156,1.06940388683,1.61267037649,1.54270083991,1.34664872273,1.25858900166,1.17366526296,1.14216748472,1.08019420113,1.07067884454,1.60471783574,1.53154794389,1.33291550826,1.25304020659,1.16795184374,1.1392440279,1.0793244021,1.06997619767,1.60833402512,1.53289541347,1.33490457993,1.25368737617,1.16893986512,1.1395969055,1.07977041116,1.07015310684,1.61124725704,1.54794996474,1.34779601039,1.25950565307,1.1737917182,1.14281465691,1.07960486942,1.07116072326,1.60380139562,1.54997348091,1.33543433727,1.25949964033,1.17370604241,1.14309161291,1.07930218854,1.07131427628,0.0292306279917,0.0145485066889,0.0159795680677,0.00668572939654,0.00762058642128,0.00338316038954,0.00375201519916,0.00160532290677,0.0281456268921,0.0144197232931,0.0116534424544,0.00584475410923,0.00807542064092,0.00478335435578,0.0041118980248,0.00137616098033,5.5e-07,5.5e-07
