,dz,dz_G,volG_c,vol_c,vol_cr,vol_f,vol_fr
0,-2.0,-4.0,4.03828829953,12.4972795893,23.3531924849,6.07223051766,12.1417207408
1,-1.92,-3.84,3.79352583768,11.2798185238,20.6978440973,5.56448113304,10.7741403946
2,-1.84,-3.68,3.5727046057,10.1620456305,18.2709693658,5.09999038171,9.53969239106
3,-1.76,-3.52,3.37333530036,9.1390768899,16.0617786836,4.67617831139,8.42911355878
4,-1.68,-3.36,3.19323036154,8.20606367365,14.0595452703,4.29058909116,7.43359884259
5,-1.6,-3.2,3.03046537696,7.35819934063,12.253642101,3.94089051237,6.54482263456
6,-1.52,-3.04,2.88334586919,6.59072613926,10.6335974027,3.6248721934,5.75497405049
7,-1.44,-2.88,2.75037868096,5.89894210764,9.1891804864,3.34044165281,5.05681663735
8,-1.36,-2.72,2.63024729607,5.27820751574,7.91053914806,3.08561704265,4.44379456735
9,-1.28,-2.56,2.52179053491,4.72395026224,6.78842921744,2.85851491277,3.91022808175
10,-1.2,-2.4,2.4239841493,4.23166962139,5.81463300966,2.65733106299,3.4516932374
11,-1.12,-2.24,2.33592491341,3.79693804421,4.9827560098,2.48031271446,3.06579247649
12,-1.04,-2.08,2.25681686859,3.41540171189,4.28970026022,2.32572165008,2.7536448669
13,-0.96,-1.92,2.18595943135,3.08278264974,3.72453670025,2.19179177839,2.5101153374
14,-0.88,-1.76,2.12273711742,2.79488849812,3.26239557105,2.07669169772,2.31774258096
15,-0.8,-1.6,2.06661067207,2.54763904536,2.88397670899,1.97851198926,2.16351862396
16,-0.72,-1.44,2.01710942846,2.33711688971,2.57515149721,1.89530122419,2.03840805365
17,-0.64,-1.28,1.97382474266,2.15963690894,2.3251459075,1.82516117745,1.93598411158
18,-0.56,-1.12,1.93640437764,2.01180761066,2.12510489408,1.76637517964,1.85161064281
19,-0.48,-0.96,1.90454772803,1.89055105955,1.96711410674,1.71751091463,1.78193242189
20,-0.4,-0.8,1.87800179521,1.7930849143,1.84395755901,1.67745638517,1.72455380403
21,-0.32,-0.64,1.8565578372,1.71692030381,1.74948550455,1.6454029017,1.67784457163
22,-0.24,-0.48,1.84004863126,1.65991852243,1.67902625224,1.62080975201,1.64084643094
23,-0.16,-0.32,1.82834629889,1.62038237052,1.62953998901,1.60336244116,1.61328504439
24,-0.08,-0.16,1.82136065355,1.59711871788,1.59965692757,1.59291851003,1.59571679093
25,0.0,0.0,1.81903804135,1.58943837628,1.58966856269,1.58943837628,1.58966856269
26,0.08,0.16,1.82136065355,1.59711871788,1.59965692757,1.59291851003,1.59571679093
27,0.16,0.32,1.82834629889,1.62038237052,1.62953998901,1.60336244116,1.61328504439
28,0.24,0.48,1.84004863126,1.65991852243,1.67902625224,1.62080975201,1.64084643094
29,0.32,0.64,1.8565578372,1.71692030381,1.74948550455,1.6454029017,1.67784457163
30,0.4,0.8,1.87800179521,1.7930849143,1.84395755901,1.67745638517,1.72455380403
31,0.48,0.96,1.90454772803,1.89055105955,1.96711410674,1.71751091463,1.78193242189
32,0.56,1.12,1.93640437764,2.01180761066,2.12510489408,1.76637517964,1.85161064281
33,0.64,1.28,1.97382474266,2.15963690894,2.3251459075,1.82516117745,1.93598411158
34,0.72,1.44,2.01710942846,2.33711688971,2.57515149721,1.89530122419,2.03840805365
35,0.8,1.6,2.06661067207,2.54763904536,2.88397670899,1.97851198926,2.16351862396
36,0.88,1.76,2.12273711742,2.79488849812,3.26239557105,2.07669169772,2.31774258096
37,0.96,1.92,2.18595943135,3.08278264974,3.72453670025,2.19179177839,2.5101153374
38,1.04,2.08,2.25681686859,3.41540171189,4.28970026022,2.32572165008,2.7536448669
39,1.12,2.24,2.33592491341,3.79693804421,4.9827560098,2.48031271446,3.06579247649
40,1.2,2.4,2.4239841493,4.23166962139,5.81463300966,2.65733106299,3.4516932374
41,1.28,2.56,2.52179053491,4.72395026224,6.78842921744,2.85851491277,3.91022808175
42,1.36,2.72,2.63024729607,5.27820751574,7.91053914806,3.08561704265,4.44379456735
43,1.44,2.88,2.75037868096,5.89894210764,9.1891804864,3.34044165281,5.05681663735
44,1.52,3.04,2.88334586919,6.59072613926,10.6335974027,3.6248721934,5.75497405049
45,1.6,3.2,3.03046537696,7.35819934063,12.253642101,3.94089051237,6.54482263456
46,1.68,3.36,3.19323036154,8.20606367365,14.0595452703,4.29058909116,7.43359884259
47,1.76,3.52,3.37333530036,9.1390768899,16.0617786836,4.67617831139,8.42911355878
48,1.84,3.68,3.5727046057,10.1620456305,18.2709693658,5.09999038171,9.53969239106
49,1.92,3.84,3.79352583768,11.2798185238,20.6978440973,5.56448113304,10.7741403946
50,2.0,4.0,4.03828829953,12.4972795893,23.3531924849,6.07223051766,12.1417207408
