,C,C_stderr,D,F,F_stderr,a,chisq,fit,lambdaem,lambdaex,n,r0,r0_stderr,tf,tf_stderr,v,w0,w0_stderr,wxy,wxy_stderr,wz,wz_stderr
0,6.30714401921,0.130315202776,404.98,,,,314.357991497,fcs,,,,,,,,1.88403505855,,,0.375081124717,0.00100859878078,2.40499264042,0.056902072533
1,6.30713520077,0.0,404.98,0.02,0.0,,314.357991482,fcs_t,,,,,,1e-09,0.0,1.88403505855,,,0.37508109762,0.0,2.40499634327,0.0
2,4.80046648165,0.058677286971,404.98,,,0.652,221.26815716,fcs_n,0.657,0.633,1.33,0.140406113497,0.00169252710339,,,2.4545069544,0.329266609639,0.00190460084844,,,,
3,4.96082453348,0.0573304044254,404.98,0.042145425607,0.00519071953523,0.652,144.901107772,fcs_nt,0.657,0.633,1.33,0.135209382575,0.00166212643154,4.94917300387e-06,1.21746678022e-06,2.4071070553,0.338825301655,0.0023629894946,,,,
4,3.28144945198,0.0338514620359,404.98,,,0.652,192.645295043,fcs_nr,0.657,0.633,1.33,0.185393061546,0.00179410785822,,,2.26993195241,0.316680217788,0.00192795501453,,,,
5,3.35932749635,0.0334294134059,404.98,0.0396740261132,0.00563663171026,0.652,134.258123927,fcs_ntr,0.657,0.633,1.33,0.180713801415,0.00180633529588,3.75343329611e-06,1.01577289474e-06,2.24154474576,0.324882232262,0.00234068312813,,,,
