,Gfit,NRfit,NRres,NTRfit,NTRres,NTfit,NTres,Nfit,Nres,Tfit,Tres,delta_t,g(t),std_err,std_err_fit
7,1.25015927123,1.25312815221,0.32281305611,1.26224061674,0.937338126534,1.26159389704,0.893724828822,1.2524479979,0.276946312015,1.25015926021,0.122599078072,1e-07,1.2483413,0.051157769,0.0148284982235
8,1.25012246522,1.25308776085,0.890834807974,1.26214853988,1.53498974781,1.26151205798,1.48974064947,1.25240855653,0.842549842392,1.2501224542,0.680025080262,1.13e-07,1.2405571,0.071382691,0.0140661785587
9,1.25008849995,1.25305047743,-1.7214177998,1.26206377808,-1.05164473538,1.26143666941,-1.09824471124,1.25237216058,-1.77182157915,1.25008848894,-1.94151951018,1.25e-07,1.27621605,0.052816844,0.0134572745353
10,1.25005171453,1.25301010872,-0.988252778039,1.26197220307,-0.292363503015,1.261355166,-0.340275133722,1.25233274406,-1.04084721715,1.25005170353,-1.21796521611,1.38e-07,1.26573745,0.044983185,0.0128786489678
11,1.25001776827,1.25297285817,-1.40165993581,1.26188790257,-0.683002047473,1.26128008622,-0.731999119234,1.25229637104,-1.45619111344,1.25001775727,-1.63987390182,1.5e-07,1.27036065,0.061490751,0.0124051567086
12,1.24998100344,1.25293251663,-2.00371181686,1.26179682509,-1.26168368768,1.26119891619,-1.31173432074,1.25225697934,-2.06025906423,1.24998099244,-2.25078070872,1.63e-07,1.276869,0.053546431,0.0119460805123
13,1.24994707616,1.25289529312,0.0109844892711,1.26171298108,0.773503020634,1.26112414312,0.722582771046,1.25222062922,-0.0473559597084,1.24994706517,-0.243964292518,1.75e-07,1.25276825,0.059631139,0.0115639252098
14,1.2499103319,1.25285498099,0.854251505936,1.26162239716,1.63790230337,1.26104330426,1.58614182913,1.25218126232,0.794034916736,1.2499103209,0.591053661401,1.88e-07,1.24329765,0.051922192,0.0111879366226
15,1.2498764236,1.25281778748,-1.29430941788,1.26153900683,-0.492055323728,1.26096883585,-0.544504525662,1.25214493509,-1.35620236065,1.24987641261,-1.56488045363,2e-07,1.2668881,0.066580402,0.0108709181921
16,1.24980581054,1.25274035527,-3.57069623295,1.2613659697,-2.73219119197,1.26081416013,-2.78583305996,1.25206928858,-3.63592931292,1.24980579955,-3.85596496772,2.25e-07,1.2894718,0.03804283,0.0102869192997
17,1.24973523695,1.25266291126,-1.34238815192,1.26119386242,-0.470628807659,1.26066011175,-0.525171505627,1.25199368966,-1.41077233417,1.24973522597,-1.6415593058,2.5e-07,1.2657994,0.052690804,0.00978592364561
18,1.2496647028,1.25258556437,-1.89568464091,1.26102267643,-0.993307654475,1.26050668649,-1.04849435598,1.25191813827,-1.96706585039,1.24966469183,-2.20807883773,2.75e-07,1.27031,0.052168994,0.00934989630578
19,1.24959420806,1.25250826475,0.2766596693,1.26085240473,1.20731736369,1.26035388021,1.15171491507,1.25184263438,0.202421368514,1.2495941971,-0.0483559023879,3e-07,1.25002775,0.032336236,0.00896587347683
20,1.24952375269,1.25243101757,-1.34889282694,1.26068303797,-0.392052452372,1.26020168875,-0.447865850686,1.25176717793,-1.42586413288,1.24952374174,-1.6859950155,3.25e-07,1.2640642,0.051311924,0.00862425934271
21,1.24945333666,1.2523538226,0.553928586357,1.26051456956,1.53505224011,1.26005010801,1.47921260403,1.25169176888,0.474335835335,1.24945332571,0.205220225335,3.5e-07,1.24774635,0.048923172,0.00831777526843
22,1.24938295994,1.25227667993,-1.39369347447,1.26034699014,-0.390019131566,1.25989913391,-0.445717205885,1.25161640718,-1.47580656309,1.249382949,-1.7535727595,3.75e-07,1.26348305,0.044573591,0.00804078469065
23,1.2493126225,1.25219958936,-1.63646609585,1.26018029353,-0.611831005268,1.2597487624,-0.667234748208,1.25154109279,-1.72100720104,1.24931261156,-2.00711912275,4e-07,1.26494575,0.033905107,0.00778884434914
24,1.2491720653,1.25204556412,-0.417277780782,1.25984951693,0.644984734354,1.25944981108,0.590577497057,1.25139060573,-0.506426944563,1.24917205438,-0.808412138157,4.5e-07,1.2551111,0.031403055,0.00734655671523
25,1.24903166481,1.25189174514,0.520505791718,1.25952217957,1.61532248328,1.2591532222,1.56238451605,1.25124030734,0.427040280082,1.2490316539,0.110142904721,5e-07,1.248264,0.024677183,0.00696961733063
26,1.24889142076,1.25173814478,-0.58572660301,1.25919822251,0.53720460385,1.25885896438,0.486137767716,1.25109019724,-0.683256057668,1.24889140986,-1.01422857085,5.5e-07,1.25562935,0.026138535,0.00664341385493
27,1.24875133289,1.25158477722,0.709883055679,1.2588775902,1.85699882418,1.25856700667,1.80814602406,1.25094027507,0.608509960938,1.248751322,0.26420165493,6e-07,1.24707165,0.027463984,0.00635753778751
28,1.24861140094,1.25143163851,-1.45693430056,1.25856021984,-0.289143231098,1.25827731856,-0.335487475275,1.25079054046,-1.56195445571,1.24861139007,-1.91893792234,6.5e-07,1.26032525,0.024455274,0.00610434542649
29,1.24847162465,1.25127851194,-1.23790555615,1.25824606216,-0.052557618347,1.25798986997,-0.0961419564943,1.25064099305,-1.34635938295,1.2484716138,-1.71542199905,7e-07,1.258555,0.027509153,0.00587807910205
30,1.24833200377,1.25112573072,-2.43523770506,1.25793506024,-1.23520615835,1.25770463125,-1.27581534065,1.25049163246,-2.54698342387,1.24833199292,-2.92758307932,7.5e-07,1.264944,0.021686858,0.0056743076546
31,1.24819253802,1.25097314183,-1.51953538487,1.25762716122,-0.307408893904,1.25742157314,-0.344859649457,1.25034245834,-1.63441984888,1.24819252719,-2.02606000697,8e-07,1.2593147,0.031485377,0.00548955745069
