filename	Rg	t1	Cross
6000_0.SIN	0.2344	0.01283	0
6000_1.SIN	0.2344	0.01283	0
6000_2.SIN	0.2344	0.01283	0
6000_3.SIN	0.2344	0.01283	0
6000_4.SIN	0.2344	0.01283	0
6000_5.SIN	0.2344	0.01283	0
6000_6.SIN	0.2344	0.01283	0
6000_7.SIN	0.2344	0.01283	0
6000_8.SIN	0.2344	0.01283	0
6000_9.SIN	0.2344	0.01283	0
6000_10.SIN	0.2344	0.01283	0
6000_11.SIN	0.2344	0.01283	0
6000_12.SIN	0.2344	0.01283	0
6000_13.SIN	0.2344	0.01283	0
6000_14.SIN	0.2344	0.01283	0
6000_15.SIN	0.2344	0.01283	0
6000_16.SIN	0.2344	0.01283	0
6000_17.SIN	0.2344	0.01283	0
6000_18.SIN	0.2344	0.01283	0
6000_19.SIN	0.2344	0.01283	0
6000_20.SIN	0.2344	0.01283	0
6000_21.SIN	0.2344	0.01283	0
6000_22.SIN	0.2344	0.01283	0
6000_23.SIN	0.2344	0.01283	0
6000_24.SIN	0.2344	0.01283	0
6000_25.SIN	0.2344	0.01283	0
6000_26.SIN	0.2344	0.01283	0
