filename	Rg	t1	Cross
1000_1.SIN	0.080	0.000510	0
1000_2.SIN	0.080	0.000510	0
1000_3.SIN	0.080	0.000510	0
1000_4.SIN	0.080	0.000510	0
1000_5.SIN	0.080	0.000510	0
1000_6.SIN	0.080	0.000510	0
1000_7.SIN	0.080	0.000510	0
1000_8.SIN	0.080	0.000510	0
1000_9.SIN	0.080	0.000510	0
1000_10.SIN	0.080	0.000510	0
1000_11.SIN	0.080	0.000510	0
1000_12.SIN	0.080	0.000510	0
1000_13.SIN	0.080	0.000510	0
1000_14.SIN	0.080	0.000510	0
1000_15.SIN	0.080	0.000510	0
1000_16.SIN	0.080	0.000510	0
1000_17.SIN	0.080	0.000510	0
1000_18.SIN	0.080	0.000510	0
1000_19.SIN	0.080	0.000510	0
1000_0.SIN	0.080	0.000510	0
