filename	Rg	t1	Cross
0500_1.SIN	0.053	0.000149	0
0500_2.SIN	0.053	0.000149	0
0500_3.SIN	0.053	0.000149	0
0500_4.SIN	0.053	0.000149	0
0500_5.SIN	0.053	0.000149	0
0500_6.SIN	0.053	0.000149	0
0500_7.SIN	0.053	0.000149	0
0500_8.SIN	0.053	0.000149	0
0500_9.SIN	0.053	0.000149	0
0500_10.SIN	0.053	0.000149	0
0500_11.SIN	0.053	0.000149	0
0500_12.SIN	0.053	0.000149	0
0500_13.SIN	0.053	0.000149	0
0500_14.SIN	0.053	0.000149	0
0500_15.SIN	0.053	0.000149	0
0500_16.SIN	0.053	0.000149	0
0500_17.SIN	0.053	0.000149	0
0500_18.SIN	0.053	0.000149	0
0500_19.SIN	0.053	0.000149	0
0500_0.SIN	0.053	0.000149	0
0500_21.SIN	0.053	0.000149	0
0500_22.SIN	0.053	0.000149	0
0500_20.SIN	0.053	0.000149	0
