filename	Rg	t1	Cross
2000_1.SIN	0.1213	0.001178	0
2000_2.SIN	0.1213	0.001178	0
2000_3.SIN	0.1213	0.001178	0
2000_4.SIN	0.1213	0.001178	0
2000_5.SIN	0.1213	0.001178	0
2000_6.SIN	0.1213	0.001178	0
2000_7.SIN	0.1213	0.001178	0
2000_8.SIN	0.1213	0.001178	0
2000_9.SIN	0.1213	0.001178	0
2000_11.SIN	0.1213	0.001178	0
2000_12.SIN	0.1213	0.001178	0
2000_13.SIN	0.1213	0.001178	0
2000_14.SIN	0.1213	0.001178	0
2000_15.SIN	0.1213	0.001178	0
2000_16.SIN	0.1213	0.001178	0
2000_17.SIN	0.1213	0.001178	0
2000_18.SIN	0.1213	0.001178	0
2000_19.SIN	0.1213	0.001178	0
2000_0.SIN	0.1213	0.001178	0
2000_20.SIN	0.1213	0.001178	0
2000_21.SIN	0.1213	0.001178	0
2000_22.SIN	0.1213	0.001178	0
2000_23.SIN	0.1213	0.001178	0
2000_25.SIN	0.1213	0.001178	0
