delta_t,msdB,msdR,msdmaxBlue,msdmaxRed,msdminBlue,msdminRed,normB,normR,stdNormB,stdNormR
0.0131072,[ 0.26633929],[ 0.27263309],[ 0.26406422],[ 0.26091248],[ 0.28168271],[ 0.27193812],0.143270395509466,0.23331570451188227,0.0013895341975710882,0.0012844176316526206
0.014745600000000001,[ 0.29575605],[ 0.3029134],[ 0.29371547],[ 0.28949403],[ 0.31261816],[ 0.30223013],0.13016188918538865,0.2143308058555537,0.0012457805431701876,0.001264212307644439
0.016384,[ 0.33396871],[ 0.34199284],[ 0.33196759],[ 0.32677946],[ 0.35256106],[ 0.34141289],0.1162430936182933,0.1936355592754006,0.0010993916155094892,0.001200354583979026
0.0180224,[ 0.37428835],[ 0.38367986],[ 0.37217383],[ 0.36602659],[ 0.39583556],[ 0.38285847],0.1041716521373786,0.17552567398073496,0.0010307453525271334,0.001149096866155357
0.0196608,[ 0.40589008],[ 0.41814719],[ 0.40552294],[ 0.39699193],[ 0.43149843],[ 0.41512361],0.09582485857324616,0.16341091681790706,0.0009697740969644534,0.0010834383507412942
0.0212992,[ 0.42417057],[ 0.43722967],[ 0.4246508],[ 0.41448218],[ 0.45050128],[ 0.43424343],0.09171607175964094,0.15709056933763982,0.0008903187827987855,0.0010973102956347782
0.0229376,[ 0.42875554],[ 0.44187991],[ 0.42935797],[ 0.41845258],[ 0.45508157],[ 0.43949046],0.09076360465831518,0.15557608706027362,0.0008691108705874775,0.0011473280346920344
0.024576,[ 0.42943325],[ 0.44284918],[ 0.43009597],[ 0.4190667],[ 0.45630673],[ 0.44023662],0.0905673675974802,0.1553545301047851,0.0008820302262712301,0.0011514744927591893
0.02621439,[ 0.43474972],[ 0.44903679],[ 0.43577193],[ 0.42465996],[ 0.46305567],[ 0.44524855],0.08933279624831933,0.15363655634796222,0.0008952151382763296,0.0010970189420235008
0.029491200000000002,[ 0.47699638],[ 0.48995033],[ 0.47701505],[ 0.46689404],[ 0.5035465],[ 0.4874778],0.08189008715852768,0.14114491175965546,0.0007421788338579731,0.000937420608536037
0.032768,[ 0.52272749],[ 0.53730944],[ 0.52553694],[ 0.51144224],[ 0.54958266],[ 0.53445194],0.07458704098851265,0.12959132618977298,0.0005671106838814179,0.0008950820360351552
0.0360448,[ 0.52384158],[ 0.54132748],[ 0.53066757],[ 0.51305418],[ 0.55239353],[ 0.53502885],0.07402213789077157,0.12933168084915211,0.0005053807202430927,0.0008516950748064493
0.03932159,[ 0.50455154],[ 0.52350384],[ 0.51271548],[ 0.49509123],[ 0.5347213],[ 0.51432799],0.07658938714361302,0.13396712703549005,0.0005447638207630445,0.0007956337763701523
0.04259839,[ 0.51490877],[ 0.53712255],[ 0.52580439],[ 0.50478946],[ 0.54890292],[ 0.52538438],0.07461350772258124,0.13144089654062519,0.0005451428037877883,0.0008223990124267539
0.04587519,[ 0.53978168],[ 0.5601397],[ 0.54761405],[ 0.52820305],[ 0.57321238],[ 0.55181043],0.07147802607241902,0.12571903422118116,0.000558594778123387,0.0008684446764442422
0.04915199,[ 0.54155997],[ 0.55920077],[ 0.54424975],[ 0.53003119],[ 0.57493905],[ 0.55353367],0.07160121015686584,0.12532750682754135,0.0006716552433543763,0.0008596421225436228
0.05242879,[ 0.54082026],[ 0.55636906],[ 0.54277975],[ 0.5297911],[ 0.57060869],[ 0.55225641],0.07197507373340345,0.12549009611182807,0.0006149350886422887,0.0008236938581338291
0.05898239,[ 0.62514338],[ 0.65214904],[ 0.63519987],[ 0.61087687],[ 0.66998061],[ 0.64001604],0.06103521088084027,0.10915959903652327,0.0005694450213151379,0.0008271366702760027
0.06553599,[ 0.69115664],[ 0.72686298],[ 0.70779531],[ 0.67322049],[ 0.74694555],[ 0.70997825],0.054414647172857274,0.09888225982757758,0.0005207319081226733,0.000870829921212216
0.07208959,[ 0.80155815],[ 0.85360048],[ 0.82998399],[ 0.77933711],[ 0.8785698],[ 0.82498099],0.04575353419589222,0.08517040039993229,0.00047288272049496294,0.0008241596874838534
0.07864319,[ 0.86873268],[ 0.92967586],[ 0.9065449],[ 0.84415434],[ 0.95400194],[ 0.89468447],0.04166496269772071,0.07841264818847309,0.0003905680677880498,0.0007854597638680046
0.08519679,[ 0.93563598],[ 1.01795572],[ 0.98504968],[ 0.90425607],[ 1.05312584],[ 0.96913758],0.03767765939107935,0.07258830609189917,0.00046779235557624436,0.0008769793041807477
0.09175038,[ 0.9485553],[ 1.02652333],[ 0.99054939],[ 0.91831958],[ 1.06519848],[ 0.98073101],0.03732695720082629,0.07155290555815114,0.0005043594400153637,0.0008220963421039305
0.09830398,[ 0.99520648],[ 1.07451475],[ 1.03363866],[ 0.96148364],[ 1.11875926],[ 1.03125338],0.03546566316964302,0.06802646754492402,0.000524813945080056,0.0008388923976922133
0.1048576,[ 1.02470346],[ 1.10425516],[ 1.05639246],[ 0.99067384],[ 1.1566762],[ 1.06103693],0.03439341313883651,0.06595452464147097,0.0005850851111280946,0.0008002450582801005
0.11796480000000001,[ 1.12826139],[ 1.21964181],[ 1.17356502],[ 1.08871789],[ 1.26953275],[ 1.17067527],0.03073068061351789,0.05950396708226567,0.000458525230213825,0.0007746596394701057
0.131072,[ 1.28077226],[ 1.39969596],[ 1.34017175],[ 1.23649594],[ 1.46489556],[ 1.32826345],0.02623509625378526,0.05184661125621424,0.0004500439391239338,0.0006778531961834176
0.1441792,[ 1.39053801],[ 1.53896661],[ 1.46905751],[ 1.33320917],[ 1.61610212],[ 1.45294914],0.023493525833024925,0.04735356832564039,0.00043647576737892437,0.000751962845764291
0.1572864,[ 1.48441131],[ 1.63072103],[ 1.53888509],[ 1.42017488],[ 1.73468655],[ 1.55469511],0.02195035955016472,0.04403176362782642,0.0005148739408118032,0.0007420312910223481
0.1703936,[ 1.57165627],[ 1.75046862],[ 1.65528985],[ 1.50511882],[ 1.8578031],[ 1.64434704],0.020187914579162962,0.04129820834707867,0.0004597492758706944,0.000685389946041974
