delta_t,meanB,meanBR,meanR,stdB,stdR,stdRB
1.25e-08,1.4016099166666667,1.023887533333333,1.2276251666666667,0.03693084750687951,0.021491460435226113,0.023246025178362315
2.5e-08,1.5097540833333332,1.0227789791666666,1.2969965833333335,0.04072881522636097,0.019614642576649757,0.021796215610647103
3.75e-08,1.7785340000000003,1.0245403833333333,1.5048041666666665,0.045186830343585754,0.020657552419689567,0.02239688868114399
5e-08,1.4609833333333333,1.0261543958333332,1.2935543333333333,0.048810813261225494,0.016124261690246604,0.022126270188652035
6.25e-08,1.3496505833333332,1.0272408791666667,1.2311847500000002,0.045588123284210656,0.019439606297989496,0.02434188047712179
7.5e-08,1.3566727500000002,1.0228483124999999,1.2291674166666664,0.03908283244837176,0.013704872737207573,0.024312911918538144
8.75e-08,1.3799399166666664,1.0238426916666665,1.2302702499999998,0.04099844174571018,0.016023931358674123,0.02092397220494388
1e-07,1.35582125,1.0143495583333333,1.2296867500000002,0.04105202134309788,0.015070622444151643,0.016782441376105902
1.125e-07,1.3882089166666667,1.0259056333333334,1.2299443333333333,0.050017679773353384,0.01313887418016558,0.022023096358249034
1.25e-07,1.3813754166666667,1.0228644958333335,1.2246488333333334,0.056176737800532055,0.01831262982585756,0.02128835679719236
1.375e-07,1.362982,1.0176983999999998,1.2244343333333334,0.055442736682394515,0.014791145534481834,0.016871713726209506
1.5e-07,1.3562485000000002,1.0217222666666668,1.2236274166666665,0.047301343685107564,0.017715973002060098,0.016001266444010672
1.625e-07,1.3602785833333335,1.0248430291666668,1.2295884166666669,0.04357908646062985,0.014417219261808273,0.019764016624105017
1.75e-07,1.345372,1.0148244666666664,1.2278720833333332,0.03285501022675232,0.020161523390104283,0.02392767567350387
1.875e-07,1.391050166666667,1.015315675,1.21765925,0.05089349873974303,0.019346006849498273,0.026766979768710203
2e-07,1.3640561666666666,1.0230692125,1.2194605,0.02909001535416502,0.01983494492682045,0.02146471767679294
2.25e-07,1.36002375,1.0178160875,1.2196061666666669,0.03438832363153954,0.011634814837613697,0.013742470516077543
