delta_t,meanB,meanBR,meanR,stdB,stdR,stdRB
1.25e-08,1.2610604545454545,1.0277342727272727,1.209766,0.024497877438162,0.011583596960592794,0.012603115585880915
2.5e-08,1.3285977272727274,1.0224561363636366,1.2675217272727275,0.030398601819195268,0.012086676481984852,0.01511676917699334
3.75e-08,1.4797920909090907,1.0331567272727273,1.4393025454545454,0.02290960163716415,0.01184837960815074,0.013717015853516387
5e-08,1.2847170909090908,1.0248830545454546,1.2535385454545453,0.01247532463016888,0.01551996770359596,0.015323240598062652
6.25e-08,1.2398160000000003,1.025692845454545,1.204773727272727,0.01786306839670765,0.009784121757315979,0.016133002199098453
7.5e-08,1.2246055454545457,1.024979959090909,1.1993901818181818,0.018095985438080067,0.015568169249629985,0.012954801074528286
8.75e-08,1.2212524545454546,1.0221504090909093,1.2067489090909091,0.01816882399938588,0.010571669640682825,0.012667724641993604
1e-07,1.2447781818181818,1.0242817318181816,1.199148909090909,0.023264279528215418,0.010914873592359636,0.01860819824584622
1.125e-07,1.2341433636363637,1.0254957636363633,1.2049950909090907,0.025123593740013037,0.01007661217829362,0.014301912935959617
1.25e-07,1.2276888181818182,1.0257682090909093,1.203892,0.025219038875126155,0.010292988610964983,0.014161838738792154
1.375e-07,1.2356379090909089,1.0210015272727273,1.1976460000000002,0.017361765182851173,0.009272590841242313,0.013230174815830616
1.5e-07,1.2295207272727273,1.0252782272727272,1.1993511818181821,0.016059223303368,0.007511553329471046,0.015218412914301057
1.625e-07,1.2390166363636366,1.0253793318181819,1.199083,0.020848516857093144,0.01152190951661621,0.015195579027030016
1.75e-07,1.231889090909091,1.0248258363636362,1.1974641818181817,0.028248697397014588,0.01443984973995215,0.019167441850784978
1.875e-07,1.2401880909090908,1.0248426363636365,1.201668909090909,0.0262812510614577,0.010085960318045581,0.012673309216780445
2e-07,1.2406148181818182,1.0250538954545454,1.194247,0.03165036899632146,0.011742957432977747,0.014725061093945732
2.25e-07,1.245358090909091,1.021815031818182,1.199300818181818,0.018512415698436965,0.011186857336081962,0.013529839682628345
2.5e-07,1.2282257272727273,1.0247622272727273,1.1955956363636364,0.023462746293920728,0.00259982241605871,0.009990213929513124
2.75e-07,1.2239898181818183,1.0237330227272727,1.1932405454545454,0.01450604970861334,0.011967631058694323,0.01363360792680195
3e-07,1.2274704545454547,1.0273177727272726,1.1978394545454545,0.019667624709213856,0.006728793831716961,0.008718225142204414
3.25e-07,1.2328860909090908,1.0242478181818184,1.1910275454545456,0.020252316201787628,0.007696643038761478,0.008182613694659741
3.5e-07,1.2320356363636364,1.0266532727272728,1.1920460909090909,0.016488959128474277,0.006884653321364272,0.009262139411122791
3.75e-07,1.234840818181818,1.024072531818182,1.1956347272727272,0.014989921273479877,0.007269036851179267,0.011863975322699559
3.999999e-07,1.226931818181818,1.0280431818181817,1.1953546363636365,0.012524634901724159,0.01003248681464122,0.010331652519569355
4.5e-07,1.2256371818181817,1.0237615,1.197420181818182,0.011138807744410647,0.005634367558575151,0.006754293447672546
4.999999e-07,1.2271429999999999,1.0241867272727274,1.1960947272727271,0.013496833116765517,0.0048094957227798885,0.009650049482594814
5.499999e-07,1.2251366363636362,1.027059590909091,1.1929579999999997,0.00816971677791863,0.0038384835073716145,0.007809623013012356
5.999999e-07,1.233228545454545,1.0269817272727273,1.1952027272727272,0.011362058459176852,0.006942763585082445,0.007795470754820165
6.499999e-07,1.2269736363636363,1.024838,1.195261272727273,0.009630399371240383,0.00596683796405228,0.007331469931987479
6.999999e-07,1.2241929090909094,1.0258565,1.1929983636363637,0.013522626146604284,0.003982110844371247,0.011607470779044145
7.499999e-07,1.2229913636363638,1.0233592272727272,1.1938114545454546,0.011346152277496203,0.0055697328704286874,0.008385718589752985
7.999998e-07,1.2224286363636365,1.024772818181818,1.194045818181818,0.012574619294961712,0.006614820410098172,0.008994017297557316
8.999999e-07,1.2249248181818182,1.0243857272727273,1.1933003636363635,0.006760545497331378,0.0027896362836472483,0.00564353770561612
9.999999e-07,1.2231577272727272,1.027234590909091,1.1936203636363638,0.008134665943757597,0.003110873197285089,0.00369665080185109
1.1e-06,1.2250278181818184,1.0236438636363638,1.1931279090909093,0.006126969394973504,0.0055683672073033935,0.006467919352785101
1.2e-06,1.221896181818182,1.0243880000000003,1.195170090909091,0.004834155972550121,0.0045016854713145855,0.004349015949300814
1.3e-06,1.2227979090909094,1.026107909090909,1.1923276363636361,0.009514912338530353,0.004788132854402126,0.005183389948226139
1.4e-06,1.2217096363636364,1.0238526363636364,1.1951312727272727,0.011409566490631068,0.005237612052885247,0.004578840380642799
1.5e-06,1.225724818181818,1.0250213181818184,1.1926591818181818,0.008827316928079578,0.004562555360923023,0.0053479616285626525
1.6e-06,1.217460909090909,1.0259174090909091,1.1901642727272728,0.00961609072388138,0.004696760277833859,0.0053498504538070125
1.8e-06,1.2185898181818182,1.0246613181818183,1.192039090909091,0.006206961777906848,0.003346763469235345,0.002921874466632733
2e-06,1.2205460909090908,1.0249595454545455,1.1930088181818184,0.006253236186960883,0.0033505892783802786,0.003709645323983433
2.2e-06,1.2211245454545454,1.0251570909090908,1.191544818181818,0.007806694124725588,0.0038580381924256096,0.0033056769889648666
2.4e-06,1.2189083636363636,1.0244335454545455,1.1914406363636365,0.0035740476741167823,0.002549130271385895,0.004252099189889742
2.6e-06,1.2154862727272728,1.0259794090909093,1.1907299090909091,0.00695711903658809,0.00352184229822314,0.004054422486160151
2.799999e-06,1.217027181818182,1.0253175909090908,1.192031181818182,0.0042937126299695694,0.003613017268865989,0.003799257913893295
2.999999e-06,1.216332818181818,1.0255667272727271,1.1899898181818183,0.007475930052425606,0.0037277813732758394,0.003910664628258288
3.199999e-06,1.2156175454545455,1.025940409090909,1.189594090909091,0.005428527447469893,0.0028068325225986354,0.003923672707357598
3.599999e-06,1.214623090909091,1.0248691363636362,1.1899299090909092,0.002819836438020797,0.002730049864830848,0.003178783033224218
4e-06,1.2120715454545454,1.0241437727272726,1.1882839999999997,0.005308701285516366,0.0030517348866147876,0.0020895779245801364
4.399999e-06,1.2115893636363637,1.0246791363636363,1.1879176363636363,0.003097058994146422,0.0020451611304703704,0.0020717301793309133
4.799999e-06,1.2131987272727274,1.0244215000000003,1.1888081818181817,0.005572932655269127,0.0018798373632835255,0.003308831855806514
5.199999e-06,1.208877090909091,1.0242309545454544,1.1888764545454544,0.004396671829185535,0.0025936740653028944,0.002845542486660217
5.599999e-06,1.206463,1.0249507727272726,1.188096909090909,0.0029688364418037514,0.003094888467796435,0.0028994788392496143
5.999999e-06,1.2070996363636366,1.0240602727272727,1.1862498181818184,0.0023414366325254796,0.0029995832685764997,0.0018903923638377918
6.399999e-06,1.209164909090909,1.0248549545454544,1.1862193636363636,0.005210582369380499,0.0026270641502610563,0.0029468932713078246
7.199999e-06,1.2045594545454543,1.0248157727272729,1.1857909999999998,0.003938396128643719,0.002889338395487161,0.0022686260345660078
7.999999e-06,1.2042446363636363,1.0246757272727274,1.186176727272727,0.004218700753737635,0.002115768207398431,0.0017704926941857903
8.799999e-06,1.2014105454545456,1.0247992727272726,1.1853708181818183,0.003611535592908253,0.0026292784982743147,0.002569196499470712
9.599999e-06,1.2021952727272727,1.0249156363636365,1.184150090909091,0.002627830874968544,0.00201967902285781,0.001966712105045434
1.04e-05,1.2004405454545455,1.0249903181818183,1.1843317272727274,0.003276657702977111,0.0019176106861930387,0.001775164586130302
1.12e-05,1.1994596363636365,1.0246618636363638,1.1833164545454549,0.0042003948358291,0.0020523356700304558,0.0018626650578589304
1.2e-05,1.199156818181818,1.0246308636363637,1.1827065454545453,0.0024931896262412236,0.0025336812730468498,0.0022913435180628296
1.28e-05,1.1980166363636364,1.0250062272727272,1.1824092727272726,0.0037799973370055014,0.0024669883034291492,0.0023183828990330645
1.44e-05,1.195820090909091,1.024693181818182,1.1808929999999997,0.0023185005912734805,0.002022129750355479,0.0013523102668586218
1.6e-05,1.1955845454545455,1.0242698181818184,1.1807008181818184,0.002540761852946566,0.001829238381909599,0.0011402031571914669
1.76e-05,1.1926915454545455,1.0249608636363634,1.1799549999999999,0.0028488573582989172,0.0015344963639282584,0.001310572959207146
1.92e-05,1.1916749090909091,1.0249877272727275,1.17953,0.0020605521084737168,0.0020692851202990248,0.0015863584709475762
2.08e-05,1.1904644545454546,1.024725136363636,1.1796585454545456,0.0028623116965023096,0.0011938279428061755,0.0013581962401875214
2.24e-05,1.1906268181818183,1.0250265,1.178631181818182,0.003170920623936484,0.0018092575985335165,0.001678862026655423
2.4e-05,1.187127090909091,1.024892181818182,1.1777019090909089,0.00245796702598439,0.0020865042297648216,0.0010985688059869632
2.559999e-05,1.1873061818181816,1.024422272727273,1.177783,0.0031384389523855826,0.0016491652433883125,0.0012786736089976738
